metric,value
fall_true_positive,41
fall_false_negative,4
fall_false_positive,5
fall_true_negative,450
fall_windows,45
nonfall_windows,455
fall_recall,0.911111
missed_fall_rate,0.088889
fall_precision,0.891304
fall_f1,0.901099
specificity,0.989011
false_positive_rate,0.010989
