n_fall,n_nonfall,missed_by_R_only,missed_by_B_only,missed_by_both,missed_falls_rescued_by_gate,fa_by_R_only,fa_by_B_only,fa_by_both,fa_suppressed_by_gate,argmax_union_recall,argmax_intersection_recall,recall_R_argmax,recall_B_argmax,split,attack
44,452,0,1,1,0,10,0,5,5,0.9772727272727273,0.9545454545454546,0.9772727272727273,0.9545454545454546,val,clean
44,452,0,17,10,3,48,1,19,36,0.7727272727272727,0.38636363636363635,0.7727272727272727,0.38636363636363635,val,fgsm
44,452,0,13,19,4,70,1,23,51,0.5681818181818182,0.2727272727272727,0.5681818181818182,0.2727272727272727,val,pgd
45,455,0,4,1,0,16,0,8,9,0.9777777777777777,0.8888888888888888,0.9777777777777777,0.8888888888888888,test,clean
45,455,0,21,7,0,52,1,22,38,0.8444444444444444,0.37777777777777777,0.8444444444444444,0.37777777777777777,test,fgsm
45,455,0,23,14,0,74,0,30,52,0.6888888888888889,0.17777777777777778,0.6888888888888889,0.17777777777777778,test,pgd
