epoch,train_pgd_ce_loss,train_rank_loss,train_total_loss,n_batches,n_rank_active_batches,rank_active_fraction,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_pgd_recall_at_cap017,val_pgd_far_at_cap017,val_pgd_tp_at_cap017,clean_guard_pass
1,1.608563,0.110368,1.663747,62,62,1.0000,0.699597,0.692688,0.886364,0.772727,0.165929,34,False
2,1.529329,0.104825,1.581742,62,62,1.0000,0.699597,0.701856,0.886364,0.772727,0.165929,34,False
3,1.496102,0.106322,1.549263,62,62,1.0000,0.701613,0.707474,0.863636,0.727273,0.165929,32,False
4,1.473336,0.101067,1.523870,62,62,1.0000,0.675403,0.674263,0.750000,0.772727,0.163717,34,False
5,1.457453,0.102011,1.508459,62,62,1.0000,0.687500,0.697405,0.704545,0.772727,0.161504,34,False
6,1.444100,0.104692,1.496446,62,62,1.0000,0.697581,0.703314,0.727273,0.750000,0.165929,33,False
7,1.431942,0.093060,1.478472,62,61,0.9839,0.687500,0.690589,0.772727,0.704545,0.163717,31,False
8,1.424613,0.098017,1.473621,62,62,1.0000,0.687500,0.688972,0.704545,0.750000,0.168142,33,False
9,1.415648,0.098770,1.465033,62,62,1.0000,0.685484,0.690955,0.636364,0.772727,0.168142,34,False
10,1.404703,0.098484,1.453945,62,61,0.9839,0.669355,0.676091,0.704545,0.750000,0.165929,33,False
11,1.394164,0.095249,1.441789,62,62,1.0000,0.679435,0.691579,0.750000,0.704545,0.165929,31,False
12,1.389069,0.099141,1.438639,62,62,1.0000,0.681452,0.682862,0.613636,0.681818,0.146018,30,False
13,1.382815,0.094474,1.430052,62,62,1.0000,0.681452,0.689070,0.681818,0.750000,0.168142,33,False
14,1.375739,0.096458,1.423968,62,62,1.0000,0.687500,0.692282,0.681818,0.772727,0.168142,34,False
15,1.368098,0.096257,1.416227,62,62,1.0000,0.703629,0.709008,0.772727,0.659091,0.132743,29,False
16,1.361287,0.091200,1.406887,62,62,1.0000,0.689516,0.684830,0.772727,0.727273,0.163717,32,False
17,1.356552,0.097354,1.405229,62,62,1.0000,0.695565,0.698623,0.659091,0.704545,0.134956,31,False
18,1.352253,0.090259,1.397383,62,61,0.9839,0.697581,0.697646,0.613636,0.818182,0.168142,36,False
19,1.349121,0.091837,1.395040,62,62,1.0000,0.697581,0.701643,0.704545,0.704545,0.168142,31,False
20,1.343968,0.096050,1.391993,62,62,1.0000,0.691532,0.694199,0.659091,0.750000,0.159292,33,False
21,1.340851,0.093382,1.387542,62,62,1.0000,0.691532,0.689182,0.590909,0.795455,0.168142,35,False
22,1.332034,0.094742,1.379405,62,62,1.0000,0.701613,0.697246,0.613636,0.772727,0.165929,34,False
23,1.327632,0.091696,1.373480,62,62,1.0000,0.697581,0.699248,0.636364,0.704545,0.161504,31,False
24,1.324716,0.091186,1.370309,62,62,1.0000,0.693548,0.699021,0.636364,0.750000,0.159292,33,False
25,1.320818,0.089420,1.365528,62,62,1.0000,0.701613,0.704155,0.727273,0.840909,0.165929,37,False
26,1.313429,0.093853,1.360355,62,62,1.0000,0.695565,0.697110,0.681818,0.772727,0.168142,34,False
27,1.310670,0.089461,1.355400,62,62,1.0000,0.715726,0.708122,0.681818,0.772727,0.168142,34,False
28,1.308757,0.091025,1.354270,62,62,1.0000,0.709677,0.709043,0.704545,0.750000,0.163717,33,False
29,1.302119,0.092683,1.348460,62,62,1.0000,0.701613,0.706841,0.704545,0.727273,0.168142,32,False
30,1.301446,0.093004,1.347948,62,62,1.0000,0.709677,0.708831,0.704545,0.750000,0.168142,33,False
31,1.294809,0.091843,1.340730,62,62,1.0000,0.711694,0.706126,0.636364,0.863636,0.165929,38,False
32,1.293958,0.092590,1.340253,62,62,1.0000,0.707661,0.704797,0.659091,0.795455,0.168142,35,False
33,1.290274,0.088557,1.334552,62,62,1.0000,0.705645,0.701920,0.659091,0.772727,0.168142,34,False
34,1.286116,0.094153,1.333193,62,62,1.0000,0.719758,0.715436,0.704545,0.772727,0.152655,34,False
35,1.284212,0.085858,1.327141,62,62,1.0000,0.719758,0.714345,0.704545,0.818182,0.165929,36,False
36,1.279134,0.092560,1.325414,62,62,1.0000,0.713710,0.705912,0.704545,0.795455,0.168142,35,False
37,1.276575,0.088611,1.320881,62,62,1.0000,0.717742,0.704706,0.704545,0.818182,0.161504,36,False
38,1.272790,0.086447,1.316013,62,62,1.0000,0.713710,0.714324,0.704545,0.818182,0.163717,36,False
39,1.269705,0.093454,1.316432,62,62,1.0000,0.723790,0.716848,0.681818,0.818182,0.165929,36,False
40,1.269104,0.089790,1.313998,62,62,1.0000,0.715726,0.711817,0.704545,0.795455,0.168142,35,False
