epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,weights_active,mean_w_fall,mean_w_nonfall,mean_mu_fall,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
32,2.430513,1.406079,0.202710,0.545547,0.276176,1,1.559841,0.943876,0.002140,0.627016,0.609945,0.886364,0.227273,0.136364,22,35,0.063053,0.388013,0,0,0,0,0
33,2.426578,1.388546,0.204448,0.541313,0.292271,1,1.552055,0.950429,0.021234,0.600806,0.569912,0.840909,0.636364,0.340909,73,91,0.181416,0.493222,0,0,0,0,0
34,2.352996,1.379091,0.184292,0.522417,0.267197,1,1.464105,0.942193,-0.014308,0.620968,0.585910,0.840909,0.363636,0.181818,26,45,0.078540,0.404646,0,0,0,0,0
35,2.500563,1.395924,0.237690,0.562387,0.304562,1,1.530255,0.942730,-0.044703,0.649194,0.620213,0.863636,0.522727,0.340909,54,75,0.142699,0.493685,0,0,0,0,1
36,2.143494,1.299974,0.200385,0.382365,0.260771,1,1.381307,0.954134,0.145039,0.647177,0.629225,0.909091,0.295455,0.090909,32,44,0.084071,0.380229,0,0,0,0,1
37,2.223883,1.288368,0.213090,0.424119,0.298306,1,1.451165,0.954954,0.151218,0.633065,0.617705,0.909091,0.772727,0.522727,68,97,0.182522,0.612430,0,0,0,0,0
38,2.141670,1.288502,0.183887,0.426996,0.242285,1,1.435637,0.951317,0.136777,0.645161,0.637709,0.954545,0.613636,0.318182,58,79,0.151549,0.523481,0,0,0,0,1
39,2.313875,1.317428,0.205791,0.536507,0.254149,1,1.515251,0.945706,-0.006558,0.669355,0.654863,1.000000,0.727273,0.568182,86,95,0.200221,0.658387,0,0,0,0,1
40,2.010673,1.240704,0.186230,0.332787,0.250951,1,1.393573,0.952648,0.301121,0.695565,0.669567,0.954545,0.568182,0.250000,47,70,0.129425,0.490467,0,0,0,0,1
41,2.052950,1.216339,0.186263,0.378772,0.271575,1,1.437492,0.949037,0.258577,0.705645,0.701383,0.931818,0.386364,0.204545,49,63,0.123894,0.444429,1,1,1,1,1
42,1.984344,1.188370,0.180377,0.346905,0.268692,1,1.394103,0.957102,0.332776,0.707661,0.702590,0.954545,0.568182,0.363636,55,70,0.138274,0.540718,1,1,1,0,1
43,2.113972,1.213906,0.203674,0.396586,0.299805,1,1.461377,0.954742,0.279173,0.697581,0.699490,0.954545,0.250000,0.022727,21,31,0.057522,0.363566,0,0,0,0,0
44,2.135996,1.233919,0.198183,0.412568,0.291327,1,1.470575,0.951805,0.223401,0.679435,0.641807,0.931818,0.136364,0.068182,22,36,0.064159,0.364039,0,0,0,0,0
45,1.915524,1.137299,0.180913,0.338616,0.258696,1,1.438122,0.957467,0.348590,0.717742,0.713937,0.931818,0.181818,0.090909,19,42,0.067478,0.378479,1,0,0,0,1
46,2.165088,1.216433,0.191823,0.495148,0.261684,1,1.514502,0.946518,0.138567,0.721774,0.705036,0.909091,0.250000,0.068182,17,34,0.056416,0.368222,1,0,0,0,0
47,1.884355,1.137686,0.180532,0.330020,0.236117,1,1.425071,0.952190,0.304195,0.699597,0.704755,0.931818,0.454545,0.204545,32,45,0.085177,0.455119,0,0,0,0,0
