seed,epoch,val_clean_acc,val_clean_macro_f1,val_pgd_recall,val_pgd_false_alarms,safety_score,mean_motion_penalty,is_priorE_safety,is_v2safety,is_v2lowFA,is_macroF1
43,10,0.588710,0.506498,0.136364,100,0.372355,0.109679,0,0,0,0
43,11,0.669355,0.636365,0.022727,71,0.332180,0.105104,0,0,0,0
43,12,0.675403,0.655902,0.022727,38,0.300292,0.105206,0,0,0,0
43,13,0.659274,0.619054,0.000000,26,0.292277,0.112091,0,0,0,0
43,14,0.689516,0.670746,0.022727,77,0.328107,0.094746,0,0,0,0
43,15,0.669355,0.633733,0.000000,52,0.303982,0.091221,0,0,0,0
43,16,0.653226,0.615444,0.022727,11,0.201529,0.078238,0,0,0,0
43,17,0.713710,0.691037,0.136364,63,0.397365,0.099967,0,0,0,0
43,18,0.643145,0.640081,0.431818,146,0.573180,0.080730,1,0,0,0
43,19,0.715726,0.707692,0.022727,69,0.346591,0.096622,0,0,0,0
43,20,0.723790,0.702683,0.022727,43,0.334745,0.086352,0,0,0,0
43,21,0.752016,0.731127,0.000000,31,0.314008,0.091034,0,0,0,0
43,22,0.739919,0.719643,0.136364,71,0.416160,0.085238,0,0,0,0
43,23,0.747984,0.728532,0.136364,79,0.437560,0.082945,0,0,0,0
43,24,0.737903,0.711082,0.272727,81,0.482019,0.077955,0,1,0,0
43,25,0.752016,0.730636,0.045455,45,0.352263,0.075714,0,0,0,0
43,26,0.768145,0.752297,0.022727,25,0.332160,0.086215,0,0,0,0
43,27,0.786290,0.756457,0.090909,69,0.405239,0.074339,0,0,0,0
43,28,0.764113,0.747215,0.181818,60,0.449527,0.071081,0,0,0,0
43,29,0.707661,0.671427,0.045455,45,0.342619,0.081095,0,0,0,0
43,30,0.790323,0.771889,0.136364,60,0.437359,0.059396,0,0,0,0
43,31,0.784274,0.770917,0.181818,49,0.456285,0.076287,0,0,1,0
43,32,0.792339,0.771937,0.090909,36,0.409966,0.059859,0,0,0,0
43,33,0.766129,0.742862,0.113636,70,0.406597,0.064898,0,0,0,0
43,34,0.800403,0.794828,0.045455,31,0.356054,0.067903,0,0,0,1
43,35,0.792339,0.783015,0.022727,23,0.349899,0.057310,0,0,0,0
