seed,epoch,val_clean_acc,val_clean_macro_f1,val_pgd_recall,val_pgd_false_alarms,safety_score,mean_motion_penalty,is_priorE_safety,is_v2safety,is_v2lowFA,is_macroF1
42,1,0.294355,0.064976,0.000000,0,0.000000,0.128279,0,0,0,0
42,2,0.294355,0.064976,0.000000,0,0.000000,0.115223,0,0,0,0
42,3,0.352823,0.138322,0.000000,0,0.000000,0.125342,0,0,0,0
42,4,0.350806,0.133075,0.000000,0,0.000000,0.115973,0,0,0,0
42,5,0.457661,0.341437,0.000000,1,-0.000111,0.109039,0,0,0,0
42,6,0.576613,0.509008,0.022727,55,0.192900,0.113520,0,0,0,0
42,7,0.556452,0.535449,0.000000,38,0.216754,0.115016,0,0,0,0
42,8,0.586694,0.552212,0.000000,80,0.278691,0.112063,0,0,0,0
42,9,0.659274,0.636256,0.022727,47,0.289984,0.106867,0,0,0,0
42,10,0.661290,0.652797,0.000000,34,0.283105,0.106903,0,0,0,0
42,11,0.655242,0.642543,0.000000,60,0.290487,0.103274,0,0,0,0
42,12,0.691532,0.682014,0.000000,50,0.282281,0.111252,0,0,0,0
42,13,0.695565,0.678077,0.022727,109,0.328288,0.092923,0,0,0,0
42,14,0.703629,0.685291,0.000000,72,0.304324,0.111633,0,0,0,0
42,15,0.713710,0.701716,0.000000,21,0.261344,0.085646,0,0,0,0
42,16,0.731855,0.718082,0.022727,65,0.332039,0.077829,0,0,0,0
42,17,0.727823,0.719196,0.000000,80,0.326026,0.090021,0,0,0,0
42,18,0.735887,0.714746,0.022727,56,0.332753,0.082870,0,0,0,0
42,19,0.766129,0.750521,0.000000,39,0.318252,0.098052,0,0,0,0
42,20,0.741935,0.728844,0.045455,83,0.342548,0.080759,0,0,0,0
42,21,0.758065,0.731999,0.090909,70,0.386283,0.092737,0,0,0,0
42,22,0.754032,0.733690,0.000000,73,0.342850,0.084041,0,0,0,0
42,23,0.756048,0.741412,0.022727,51,0.351267,0.083896,0,0,0,0
42,24,0.810484,0.783609,0.000000,46,0.326126,0.070165,0,0,0,0
42,25,0.806452,0.782034,0.022727,47,0.351820,0.071401,0,0,0,0
42,26,0.790323,0.769054,0.000000,38,0.313596,0.073363,0,0,0,0
42,27,0.760081,0.730528,0.068182,59,0.370314,0.073629,0,0,0,0
42,28,0.735887,0.726551,0.090909,82,0.390276,0.090221,0,0,0,0
42,29,0.806452,0.794952,0.022727,50,0.339652,0.068661,0,0,0,0
42,30,0.776210,0.756709,0.022727,44,0.322245,0.064237,0,0,0,0
42,31,0.788306,0.770064,0.181818,73,0.461977,0.064276,0,0,0,0
42,32,0.806452,0.784593,0.113636,65,0.410780,0.076622,0,0,0,0
42,33,0.844758,0.822752,0.000000,43,0.327595,0.075465,0,0,0,0
42,34,0.826613,0.800237,0.068182,66,0.368735,0.074633,0,0,0,0
42,35,0.774194,0.753354,0.181818,91,0.466583,0.076185,0,0,0,0
42,36,0.816532,0.783832,0.068182,47,0.376016,0.063069,0,0,0,0
42,37,0.792339,0.777881,0.000000,49,0.322385,0.066512,0,0,0,0
42,38,0.816532,0.787709,0.045455,50,0.365929,0.053599,0,0,0,0
42,39,0.818548,0.804286,0.000000,62,0.359755,0.069152,0,0,0,0
42,40,0.816532,0.807351,0.022727,49,0.368091,0.065537,0,0,0,0
