epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,nonfall_selected_count,fall_selected_count,topk_budget_selected,topk_rescue_selected,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_pgd_fall_recall,val_pgd_false_fall_alarms
1,4.575358,1.972537,0.332753,0.904893,0.345743,0.456051,0.905420,7.500000,2.833333,7.500000,2.833333,1.000000,0.503690,0.243952,0.056031,0.000000,0.000000,0
2,4.291428,1.969925,0.127374,1.007704,0.133797,0.179697,1.007704,8.000000,2.500000,8.000000,2.500000,1.000000,0.178324,0.243952,0.056031,0.000000,0.000000,0
