epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,topk_budget_selected,topk_rescue_selected,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
31,3.483711,1.979329,0.008419,0.978093,0.011592,0.025679,0.986877,7.629032,1.209677,0.393145,0.314281,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
32,3.465337,1.973198,0.009391,0.963631,0.013901,0.031739,0.978694,7.629032,1.129032,0.489919,0.375733,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
33,3.510944,1.969764,0.009499,0.998089,0.014233,0.030929,1.007790,7.758065,1.161290,0.451613,0.295337,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
34,3.389762,1.967137,0.009243,0.918372,0.013183,0.031485,0.932168,7.596774,1.096774,0.502016,0.408088,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
35,3.441679,1.958099,0.013764,0.946118,0.018422,0.044630,0.965923,7.677419,1.048387,0.467742,0.403106,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
36,3.371297,1.948562,0.013208,0.908043,0.017026,0.043505,0.925410,7.661290,1.000000,0.461694,0.371235,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
37,3.456402,1.934991,0.021505,0.951864,0.027013,0.066548,0.975509,7.741935,1.112903,0.391129,0.290245,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
38,3.364966,1.904510,0.023394,0.901602,0.028686,0.079914,0.933634,7.645161,1.080645,0.443548,0.306228,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
39,3.397354,1.888643,0.032459,0.912101,0.036227,0.102650,0.953198,7.725806,1.048387,0.459677,0.342699,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
40,3.419389,1.847333,0.038168,0.939451,0.040745,0.127783,0.979599,7.548387,1.241935,0.469758,0.381104,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
41,3.387278,1.801504,0.051244,0.904521,0.053931,0.168152,0.984002,7.596774,1.112903,0.469758,0.309517,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
