epoch,train_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_clean_missed_fall_count,val_fgsm_missed_fall_count,val_pgd_missed_fall_count,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
1,1.824151,12.906250,0.198589,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
2,1.802110,14.906250,0.243448,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
3,1.799210,17.031250,0.247480,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
4,1.781111,17.906250,0.246976,0.397177,0.157076,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
5,1.742787,21.093750,0.265625,0.389113,0.191422,0.068182,0.045455,0.022727,36,33,41,42,43,0.076327,0.031004,0,1
6,1.677829,25.781250,0.279234,0.427419,0.270835,0.090909,0.022727,0.022727,17,20,40,43,43,0.040929,0.040225,0,1
7,1.571969,30.906250,0.307460,0.455645,0.332820,0.750000,0.318182,0.181818,91,96,11,30,36,0.206858,0.355451,0,1
8,1.483480,32.375000,0.335685,0.546371,0.460597,0.454545,0.068182,0.000000,36,49,24,41,44,0.094027,0.156506,0,1
9,1.427120,34.031250,0.330141,0.554435,0.464740,0.454545,0.000000,0.000000,22,47,24,44,44,0.076327,0.151458,0,1
10,1.366377,34.156250,0.327117,0.528226,0.424573,0.931818,0.545455,0.318182,201,226,3,20,30,0.472345,0.476629,0,0
11,1.288868,36.250000,0.359879,0.608871,0.521639,0.977273,0.204545,0.090909,93,106,1,35,40,0.220133,0.381396,1,1
12,1.277124,38.250000,0.342742,0.655242,0.604129,0.886364,0.090909,0.000000,47,61,5,40,44,0.119469,0.307371,0,1
13,1.247181,40.500000,0.347782,0.661290,0.631642,0.954545,0.454545,0.272727,125,158,2,24,32,0.313053,0.470967,1,1
14,1.173405,41.281250,0.389113,0.669355,0.640970,0.977273,0.431818,0.204545,124,146,1,25,35,0.298673,0.447405,0,1
15,1.129177,41.937500,0.420363,0.685484,0.633766,0.931818,0.113636,0.022727,53,71,3,39,43,0.137168,0.334010,0,0
16,1.049746,44.000000,0.434980,0.723790,0.706953,0.818182,0.022727,0.022727,22,38,8,43,43,0.066372,0.292226,0,1
17,1.120355,43.531250,0.408266,0.717742,0.702994,0.954545,0.431818,0.181818,89,121,2,25,36,0.232301,0.435861,0,0
18,1.056793,44.937500,0.431956,0.667339,0.663212,1.000000,0.704545,0.386364,134,174,0,13,27,0.340708,0.560247,1,0
19,1.060493,44.562500,0.418347,0.717742,0.701005,0.931818,0.318182,0.159091,83,109,3,30,37,0.212389,0.408307,0,0
20,1.058832,44.562500,0.439012,0.707661,0.646950,0.931818,0.136364,0.022727,46,62,3,38,43,0.119469,0.338053,0,0
21,1.075454,45.843750,0.384073,0.731855,0.708347,0.840909,0.000000,0.000000,12,31,7,44,44,0.047566,0.289562,0,1
22,1.027264,46.531250,0.448085,0.774194,0.757489,0.977273,0.454545,0.227273,75,106,1,24,34,0.200221,0.469751,0,1
23,0.992174,46.031250,0.462198,0.731855,0.715618,0.977273,0.727273,0.409091,126,152,1,12,26,0.307522,0.568111,1,0
24,1.004011,47.000000,0.463206,0.756048,0.725610,0.931818,0.545455,0.272727,84,108,3,20,32,0.212389,0.482170,0,0
25,0.925285,47.937500,0.489415,0.743952,0.741774,0.909091,0.250000,0.022727,53,78,4,33,43,0.144912,0.338918,0,0
26,0.977306,47.093750,0.454637,0.756048,0.740640,0.863636,0.113636,0.000000,26,34,6,39,44,0.066372,0.306999,0,0
27,0.921194,47.750000,0.492944,0.723790,0.696006,0.977273,0.636364,0.409091,101,130,1,16,26,0.255531,0.564220,0,0
28,0.864017,49.437500,0.514113,0.768145,0.731759,0.977273,0.568182,0.272727,79,100,1,19,32,0.198009,0.501790,0,0
29,0.997657,48.781250,0.444052,0.788306,0.757845,0.909091,0.136364,0.045455,49,63,4,38,42,0.123894,0.339883,0,1
30,0.834360,50.093750,0.529738,0.778226,0.730787,0.977273,0.340909,0.136364,57,83,1,29,38,0.154867,0.422013,0,0
31,0.907123,49.343750,0.476310,0.774194,0.755295,0.977273,0.613636,0.272727,86,106,1,17,32,0.212389,0.504897,0,0
32,0.860590,50.218750,0.503528,0.768145,0.727328,1.000000,0.522727,0.181818,70,98,0,21,36,0.185841,0.465507,0,0
33,0.873046,49.593750,0.499496,0.782258,0.762347,0.954545,0.454545,0.227273,74,102,2,24,34,0.194690,0.462349,0,1
34,0.863068,50.437500,0.491935,0.774194,0.760464,0.977273,0.477273,0.159091,61,85,1,23,37,0.161504,0.445213,0,0
35,0.782998,50.156250,0.544859,0.792339,0.793247,0.954545,0.090909,0.045455,12,23,2,40,42,0.038717,0.359765,0,1
36,0.863106,51.156250,0.501512,0.798387,0.766588,0.977273,0.181818,0.022727,35,49,1,36,43,0.092920,0.361163,0,0
37,0.835582,51.218750,0.506048,0.812500,0.784095,0.977273,0.363636,0.113636,47,70,1,28,39,0.129425,0.416603,0,0
38,0.871224,51.031250,0.460685,0.820565,0.800442,0.977273,0.340909,0.136364,43,61,1,29,38,0.115044,0.425996,0,1
