epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_fgsm_fall_recall,val_fgsm_false_fall_alarms,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_normalized_false_alarm_burden,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,fall_selected_count,nonfall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,clean_guard_eligible,selection_score,sel_maxscore
1,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.250000,0.090646,0.000000,0.000000,4.199193,1.985219,0.093216,0.990817,0.104339,0.136532,0.991469,2.645161,7.661290,0.983871,0.137706,0,-2.700000,0
2,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.262097,0.076944,0.000000,0.000000,4.029094,1.994950,0.032701,0.973418,0.040749,0.052572,0.974132,2.629032,7.741935,0.951613,0.053968,0,-2.675806,0
3,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.286290,0.101129,0.000000,0.000000,4.066206,1.995129,0.024736,1.000102,0.035492,0.040259,1.000683,2.854839,7.580645,0.983871,0.040231,0,-2.627419,0
4,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.250000,0.062444,0.000000,0.000000,3.893279,1.990888,0.021820,0.919403,0.030643,0.042334,0.919941,2.290323,7.838710,0.903226,0.046018,0,-2.700000,0
5,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.332661,0.123251,0.000000,0.000000,3.998958,1.993078,0.018382,0.975735,0.025841,0.039587,0.976026,2.580645,7.741935,0.967742,0.040560,0,-2.534677,0
6,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.306452,0.174972,0.000000,0.000000,3.949983,1.992437,0.015638,0.954993,0.022427,0.034797,0.955789,2.612903,7.645161,0.951613,0.036407,0,-2.587097,0
7,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.389113,0.163304,0.000000,0.000000,3.858424,1.990536,0.018644,0.907393,0.024132,0.038957,0.907980,2.451613,7.693548,0.903226,0.042905,0,-2.421774,0
8,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.354839,0.190224,0.000000,0.000000,3.904836,1.988802,0.015962,0.934056,0.021445,0.038540,0.934936,2.612903,7.709677,0.935484,0.041222,0,-2.490323,0
9,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.433468,0.264171,0.000000,0.000000,3.896490,1.984960,0.020901,0.924454,0.027214,0.053240,0.925650,2.661290,7.612903,0.935484,0.057517,0,-2.333065,0
10,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.391129,0.253995,0.000000,0.000000,3.891890,1.985518,0.019294,0.923860,0.025951,0.050496,0.924643,2.629032,7.709677,0.935484,0.054611,0,-2.417742,0
11,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.330645,0.205620,0.000000,0.000000,3.952460,1.981405,0.028219,0.943365,0.036899,0.073313,0.944244,2.709677,7.629032,0.967742,0.077642,0,-2.538710,0
12,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.356855,0.147099,0.000000,0.000000,3.948253,1.981130,0.033550,0.935402,0.042287,0.074708,0.937207,2.548387,7.645161,0.951613,0.079713,0,-2.486290,0
13,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.350806,0.204753,0.000000,0.000000,3.865916,1.975854,0.029000,0.900432,0.039778,0.075518,0.901973,2.580645,7.629032,0.919355,0.083725,0,-2.498387,0
14,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.393145,0.227771,0.000000,0.000000,3.801630,1.977252,0.025386,0.873551,0.033580,0.068457,0.874747,2.370968,7.741935,0.887097,0.078259,0,-2.413710,0
15,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.409274,0.222406,0.000000,0.000000,3.841743,1.972707,0.028819,0.890761,0.036881,0.079955,0.892586,2.500000,7.741935,0.919355,0.089576,0,-2.381452,0
16,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.344758,0.206890,0.000000,0.000000,3.907908,1.956088,0.062328,0.889632,0.070901,0.144986,0.892712,2.741935,7.580645,0.935484,0.162410,0,-2.510484,0
17,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.419355,0.253383,0.000000,0.000000,3.859791,1.945179,0.054592,0.875676,0.066686,0.155587,0.878761,2.709677,7.661290,0.935484,0.177053,0,-2.361290,0
18,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.413306,0.256504,0.000000,0.000000,3.912216,1.913030,0.097292,0.861269,0.112290,0.256356,0.864247,2.661290,7.645161,0.967742,0.296623,0,-2.373387,0
19,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.419355,0.296203,0.000000,0.000000,3.906376,1.888646,0.106465,0.854626,0.126300,0.279976,0.860344,2.741935,7.629032,0.967742,0.325424,0,-2.361290,0
20,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.443548,0.281559,0.000000,0.000000,3.810216,1.850959,0.116028,0.807404,0.138028,0.330717,0.815118,2.596774,7.677419,0.951613,0.405729,0,-2.312903,0
21,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.479839,0.374558,0.000000,0.000000,3.784526,1.835982,0.123146,0.793086,0.145338,0.353145,0.798688,2.596774,7.725806,0.935484,0.442156,0,-2.240323,0
22,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.455645,0.336951,0.000000,0.000000,3.695343,1.817937,0.130913,0.745023,0.155234,0.369042,0.753975,2.435484,7.645161,0.903226,0.489461,0,-2.288710,0
23,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.395161,0.254268,0.000000,0.000000,3.610325,1.773779,0.138444,0.713138,0.162745,0.408642,0.720058,2.612903,7.709677,0.935484,0.567513,0,-2.409677,0
24,0.250000,0.250000,0.044248,452,20,0.090909,0.113636,15,0.514113,0.450328,0.545455,0.038717,3.689387,1.761373,0.208071,0.669705,0.227071,0.568145,0.681130,2.774194,7.580645,0.919355,0.834122,0,-0.989956,0
25,0.250000,0.250000,0.099558,452,45,0.136364,0.159091,25,0.548387,0.482246,0.727273,0.077434,3.621498,1.705565,0.246297,0.594065,0.293653,0.729287,0.599595,2.580645,7.677419,0.967742,1.216300,0,-0.512317,0
26,0.250000,0.250000,0.035398,452,16,0.068182,0.136364,18,0.508065,0.470109,0.522727,0.037611,3.469738,1.652790,0.268957,0.487453,0.335497,0.887341,0.503207,2.467742,7.645161,0.935484,1.763373,0,-1.070235,0
27,0.250000,0.250000,0.261062,452,118,0.659091,0.750000,93,0.506048,0.400908,0.977273,0.233407,3.421413,1.645531,0.275449,0.480111,0.311246,0.871241,0.491265,2.435484,7.725806,0.967742,1.773465,0,-0.373060,0
28,0.250000,0.250000,0.137168,452,62,0.272727,0.454545,39,0.520161,0.444535,0.886364,0.111726,3.154518,1.579242,0.258299,0.397571,0.303021,0.834591,0.407738,2.693548,7.677419,0.935484,2.046882,0,-0.262895,0
29,0.250000,0.250000,0.207965,452,94,0.477273,0.613636,72,0.558468,0.480000,0.954545,0.183628,3.385473,1.584469,0.309261,0.436882,0.368155,0.970465,0.444091,2.451613,7.693548,0.935484,2.185285,0,-0.237650,0
30,0.250000,0.250000,0.183628,452,83,0.545455,0.590909,64,0.566532,0.509453,0.909091,0.162611,2.863236,1.491016,0.248861,0.292237,0.306454,0.875523,0.305788,2.645161,7.645161,0.903226,2.863175,0,-0.055994,0
31,0.250000,0.250000,0.103982,452,47,0.272727,0.340909,30,0.546371,0.496674,0.840909,0.085177,2.999150,1.477097,0.263588,0.330575,0.343739,0.938511,0.349525,2.709677,7.629032,0.983871,2.685105,0,-0.168642,0
32,0.250000,0.250000,0.236726,452,107,0.590909,0.772727,82,0.558468,0.502249,0.954545,0.209071,2.915150,1.467436,0.254220,0.320426,0.326065,0.873099,0.328729,2.564516,7.758065,0.967742,2.655987,0,-0.239058,0
