epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,mean_nonfall_budget,mean_fall_rescue,budget_to_rescue_loss_ratio,fall_selected_count,fall_k_abs_floor_active_frac,clean_guard_eligible,selection_score,sel_maxscore,sel_maxrec,sel_minFA
38,0.101018,0.109823,0.188053,452,85,0.431818,0.612903,0.576882,0.977273,1.054362,0.252898,4.169122,2.467742,0.951613,0,-0.094588,0,0,0
39,0.109823,0.109115,0.092920,452,42,0.113636,0.576613,0.554834,0.863636,1.072410,0.220352,4.866806,2.580645,0.983871,0,-0.205865,0,0,0
40,0.109115,0.107743,0.086283,452,39,0.136364,0.596774,0.531951,0.818182,0.978196,0.239998,4.075854,2.548387,0.919355,0,-0.233724,0,0,0
41,0.107743,0.113673,0.159292,452,72,0.227273,0.606855,0.577504,0.909091,1.113405,0.295708,3.765213,2.580645,0.919355,0,-0.196186,0,0,0
42,0.113673,0.132876,0.292035,452,132,0.772727,0.586694,0.549064,0.977273,0.983443,0.228548,4.302998,2.693548,0.919355,0,-0.222027,0,0,0
43,0.132876,0.151637,0.287611,452,130,0.818182,0.572581,0.531232,0.977273,0.997293,0.252131,3.955450,2.870968,0.983871,0,-0.187099,0,0,0
44,0.151637,0.148938,0.073009,452,33,0.181818,0.604839,0.571145,0.863636,1.101013,0.196995,5.589042,2.645161,0.967742,0,-0.081232,0,0,0
45,0.148938,0.146903,0.079646,452,36,0.204545,0.653226,0.639975,0.886364,0.906562,0.236091,3.839885,2.516129,0.935484,0,0.083724,0,0,0
46,0.146903,0.157478,0.205752,452,93,0.659091,0.612903,0.569438,0.977273,1.007583,0.234074,4.304541,2.467742,0.951613,0,0.061889,0,0,0
47,0.157478,0.154115,0.066372,452,30,0.159091,0.645161,0.620094,0.818182,0.908861,0.235343,3.861863,2.548387,0.935484,0,-0.114223,0,0,0
48,0.154115,0.163363,0.192478,452,87,0.590909,0.625000,0.593031,0.977273,0.816018,0.239289,3.410170,2.467742,0.919355,0,0.070998,0,0,0
49,0.163363,0.167965,0.146018,452,66,0.500000,0.629032,0.605182,0.954545,0.953628,0.279217,3.415370,2.564516,0.935484,0,0.173994,0,0,0
50,0.167965,0.168805,0.108407,452,49,0.250000,0.657258,0.623183,0.954545,0.843609,0.217110,3.885624,2.806452,0.951613,0,0.130888,0,0,0
51,0.168805,0.190442,0.316372,452,143,0.772727,0.608871,0.565167,0.977273,0.893386,0.205371,4.350106,2.596774,0.951613,0,-0.275018,0,0,0
52,0.190442,0.189956,0.095133,452,43,0.340909,0.673387,0.660345,0.931818,0.835715,0.225440,3.707044,2.629032,0.951613,0,0.287683,0,0,0
53,0.189956,0.210044,0.300885,452,136,0.795455,0.588710,0.533443,0.977273,0.895694,0.225885,3.965267,2.645161,0.983871,0,-0.230666,0,0,0
54,0.210044,0.210442,0.103982,452,47,0.227273,0.677419,0.672872,0.954545,0.709114,0.230005,3.083038,2.935484,0.951613,0,0.166182,0,0,0
55,0.210442,0.210841,0.103982,452,47,0.431818,0.683468,0.670871,0.931818,0.928806,0.220300,4.216086,2.500000,0.919355,0,0.382824,0,0,0
