model,family,representation,family_representative,far_cap,tau,TP,FN,FP,TN,recall,FAR,val_pgd_auroc
G1_lowFA_s42,G1_hardneg,lenet,False,0.1,0.164404,21,23,42,410,0.4773,0.0929,0.8756
G1_lowFA_s42,G1_hardneg,lenet,False,0.12,0.144991,22,22,47,405,0.5,0.104,0.8756
G1_lowFA_s42,G1_hardneg,lenet,False,0.15,0.101316,27,17,64,388,0.6136,0.1416,0.8756
G1_maxrec_s42,G1_hardneg,lenet,False,0.1,0.318273,9,35,43,409,0.2045,0.0951,0.8079
G1_maxrec_s42,G1_hardneg,lenet,False,0.12,0.306177,14,30,51,401,0.3182,0.1128,0.8079
G1_maxrec_s42,G1_hardneg,lenet,False,0.15,0.281833,18,26,67,385,0.4091,0.1482,0.8079
BLF_macroF1,BiLSTM_finetune,bilstm,True,0.1,0.543669,0,44,1,451,0.0,0.0022,0.7257
BLF_macroF1,BiLSTM_finetune,bilstm,True,0.12,0.543669,0,44,1,451,0.0,0.0022,0.7257
BLF_macroF1,BiLSTM_finetune,bilstm,True,0.15,0.199468,5,39,64,388,0.1136,0.1416,0.7257
BLF_maxrec,BiLSTM_finetune,bilstm,False,0.1,0.605073,0,44,1,451,0.0,0.0022,0.6916
BLF_maxrec,BiLSTM_finetune,bilstm,False,0.12,0.293561,1,43,51,401,0.0227,0.1128,0.6916
BLF_maxrec,BiLSTM_finetune,bilstm,False,0.15,0.260799,4,40,67,385,0.0909,0.1482,0.6916
BLF_safety,BiLSTM_finetune,bilstm,False,0.1,0.279488,1,43,32,420,0.0227,0.0708,0.7104
BLF_safety,BiLSTM_finetune,bilstm,False,0.12,0.227623,3,41,53,399,0.0682,0.1173,0.7104
BLF_safety,BiLSTM_finetune,bilstm,False,0.15,0.209772,4,40,65,387,0.0909,0.1438,0.7104
