epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_fallconsist,consist_p_f_clean,consist_p_f_adv,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_pgd_fall_recall,val_pgd_false_fall_alarms
1,3.639958,2.011312,0.282817,1.054389,0.291427,0.000004,0.102973,0.101056,0.243952,0.056031,0.000000,0.000000,0
2,3.260210,1.965722,0.112563,1.058219,0.123690,0.000005,0.101896,0.100123,0.294355,0.064976,0.000000,0.000000,0
