epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_fallconsist,consist_p_f_clean,consist_p_f_adv,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,3.114146,1.989986,0.047285,1.022016,0.054818,0.000007,0.093375,0.091001,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,3.005498,1.996831,0.007900,0.987579,0.013166,0.000004,0.091827,0.090128,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,3.041487,1.997368,0.005431,1.028973,0.009699,0.000003,0.092030,0.090616,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,2.980183,1.996114,0.008361,0.963585,0.012110,0.000002,0.091983,0.090695,0.243952,0.056122,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,3.012104,1.995241,0.005469,1.002733,0.008653,0.000001,0.092403,0.091397,0.191532,0.082270,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,3.004821,1.997325,0.002948,0.998432,0.006107,0.000002,0.092394,0.091299,0.379032,0.191383,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
7,3.002694,1.994662,0.003826,0.996600,0.007598,0.000001,0.092631,0.091632,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
8,2.968843,1.995034,0.003407,0.963956,0.006437,0.000001,0.092542,0.091570,0.314516,0.166411,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
9,3.012327,1.994527,0.003126,1.008855,0.005813,0.000001,0.092815,0.091933,0.219758,0.107525,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
10,2.950665,1.993663,0.004647,0.945281,0.007068,0.000001,0.092775,0.091913,0.389113,0.202380,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
11,2.916925,1.991669,0.004496,0.913639,0.007115,0.000001,0.092933,0.092027,0.338710,0.181976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
