group,label,pgd_recall,pgd_FP,walk_run_to_fall,clean_acc,clean_macro_f1,clean_fall_recall,wr_logit_margin,pgd20_recall
reference,FGSM_defense_s44,0.044,42,25,0.928,0.911,1.000,nan,nan
reference,D_safety_s44,0.378,167,116,0.722,0.667,0.978,1.733,nan
variantF,F_lamM1p0_lamF1p0_v2lowFA,0.133,44,30,0.690,0.621,0.911,0.847,0.067
variantF,F_lamM1p0_lamF1p0_v2safety,0.622,112,73,0.700,0.658,0.978,0.961,0.511
