selection,selected_epoch,val_clean_acc,val_clean_macro_f1,val_pgd_recall,val_pgd_false_alarms,safety_score
v2safety,58,0.7419,0.7263,0.5682,93,0.6573
v2maxrec,58,0.7419,0.7263,0.5682,93,0.6573
v2lowFA,68,0.7520,0.7435,0.2727,24,0.4906
v2macroF1,69,0.7863,0.7739,0.3182,42,0.5306
