epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
1,1.811772,0.290071,0.282006,0.322581,0.117912,0.000000,0.294355,0.107706,0.000000,0.112809
2,1.799036,0.288810,0.282762,0.296371,0.071391,0.000000,0.290323,0.064286,0.000000,0.067838
3,1.782887,0.320817,0.268649,0.352823,0.134483,0.000000,0.250000,0.092376,0.000000,0.113429
4,1.702790,0.401210,0.292591,0.427419,0.228309,0.000000,0.304435,0.166839,0.000000,0.197574
5,1.561662,0.456905,0.343750,0.469758,0.303512,0.000000,0.272177,0.172690,0.000000,0.238101
6,1.512925,0.491431,0.330897,0.500000,0.364220,0.000000,0.292339,0.202314,0.000000,0.283267
7,1.427782,0.529738,0.331149,0.592742,0.550310,0.454545,0.332661,0.218010,0.000000,0.384160
8,1.405056,0.560736,0.344254,0.598790,0.522253,0.250000,0.346774,0.238396,0.000000,0.380325
9,1.363730,0.587954,0.346018,0.606855,0.561310,0.181818,0.296371,0.224536,0.000000,0.392923
10,1.297356,0.636089,0.344506,0.683468,0.666975,0.636364,0.338710,0.272607,0.000000,0.469791
11,1.290907,0.637349,0.363155,0.683468,0.647437,0.727273,0.326613,0.235781,0.045455,0.441609
12,1.226787,0.676411,0.367692,0.693548,0.680430,0.818182,0.334677,0.306568,0.363636,0.493499
13,1.190931,0.699849,0.377016,0.713710,0.689444,0.727273,0.352823,0.267386,0.000000,0.478415
14,1.158695,0.722782,0.375504,0.709677,0.689661,0.636364,0.364919,0.262282,0.000000,0.475972
15,1.130269,0.739667,0.392137,0.737903,0.724963,0.886364,0.389113,0.344570,0.181818,0.534766
16,1.093705,0.760333,0.394405,0.745968,0.726551,0.840909,0.423387,0.352228,0.272727,0.539390
17,1.076163,0.772429,0.401714,0.758065,0.737898,0.863636,0.385081,0.338983,0.227273,0.538440
18,1.078788,0.770917,0.399698,0.754032,0.741316,0.931818,0.445565,0.401503,0.386364,0.571410
19,1.024094,0.779486,0.423891,0.770161,0.753204,0.931818,0.352823,0.306892,0.227273,0.530048
20,1.024682,0.791583,0.415323,0.788306,0.781608,0.931818,0.409274,0.369565,0.181818,0.575587
21,1.016152,0.797379,0.422631,0.774194,0.766562,0.795455,0.322581,0.275470,0.045455,0.521016
22,0.995408,0.799647,0.439012,0.786290,0.772298,0.977273,0.352823,0.322888,0.545455,0.547593
23,0.984834,0.804435,0.428931,0.796371,0.789014,0.931818,0.425403,0.384641,0.386364,0.586828
24,0.961838,0.819556,0.436492,0.796371,0.793205,0.977273,0.447581,0.387709,0.636364,0.590457
25,0.944767,0.820312,0.447077,0.798387,0.793753,0.931818,0.449597,0.408331,0.568182,0.601042
