epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
1,1.810098,0.285786,0.284022,0.294355,0.064976,0.000000,0.294355,0.064976,0.000000,0.064976
2,1.801422,0.295615,0.295111,0.294355,0.064976,0.000000,0.294355,0.064976,0.000000,0.064976
3,1.796169,0.294607,0.294607,0.294355,0.064976,0.000000,0.294355,0.064976,0.000000,0.064976
4,1.794932,0.294355,0.294355,0.296371,0.071439,0.000000,0.288306,0.064140,0.000000,0.067790
5,1.780431,0.318296,0.272429,0.352823,0.138558,0.000000,0.195565,0.059604,0.000000,0.099081
6,1.750640,0.356351,0.261593,0.377016,0.188231,0.000000,0.312500,0.116434,0.000000,0.152332
7,1.663588,0.433468,0.328125,0.439516,0.242122,0.000000,0.314516,0.162653,0.000000,0.202387
8,1.564790,0.466482,0.333165,0.463710,0.296310,0.000000,0.300403,0.196143,0.000000,0.246227
9,1.517549,0.508317,0.339718,0.554435,0.451650,0.590909,0.294355,0.195264,0.022727,0.323457
10,1.477870,0.525454,0.328377,0.504032,0.348740,0.022727,0.314516,0.203786,0.000000,0.276263
11,1.421818,0.562248,0.324849,0.574597,0.522411,0.545455,0.296371,0.219622,0.090909,0.371017
12,1.385378,0.587450,0.329385,0.566532,0.444709,0.090909,0.312500,0.229232,0.000000,0.336971
13,1.369762,0.602319,0.320312,0.586694,0.559955,0.431818,0.288306,0.230007,0.022727,0.394981
14,1.337705,0.621724,0.335685,0.614919,0.583939,0.522727,0.302419,0.235108,0.113636,0.409524
15,1.298491,0.642389,0.338962,0.675403,0.646864,0.613636,0.330645,0.232784,0.022727,0.439824
16,1.280646,0.658266,0.339718,0.665323,0.647056,0.636364,0.326613,0.270152,0.022727,0.458604
17,1.250425,0.683468,0.353831,0.683468,0.664349,0.772727,0.346774,0.286455,0.181818,0.475402
18,1.245085,0.686240,0.348790,0.673387,0.642036,0.522727,0.338710,0.249940,0.068182,0.445988
19,1.231078,0.684224,0.361643,0.681452,0.661786,0.795455,0.330645,0.271970,0.181818,0.466878
20,1.200967,0.706401,0.370968,0.709677,0.699179,0.704545,0.393145,0.330040,0.136364,0.514609
21,1.184416,0.714718,0.371472,0.693548,0.677171,0.704545,0.397177,0.317793,0.113636,0.497482
22,1.167456,0.721522,0.381300,0.713710,0.692157,0.750000,0.379032,0.299733,0.045455,0.495945
23,1.155064,0.731351,0.390877,0.695565,0.675467,0.772727,0.366935,0.246976,0.022727,0.461222
24,1.140865,0.742188,0.391633,0.737903,0.725017,0.750000,0.385081,0.318788,0.113636,0.521903
