epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
60,0.786501,0.900706,0.485635,0.875000,0.866198,0.977273,0.475806,0.438492,0.386364,0.652345
61,0.785528,0.907258,0.487903,0.856855,0.868862,0.954545,0.449597,0.392716,0.431818,0.630789
62,0.784392,0.904990,0.487147,0.842742,0.852608,0.954545,0.413306,0.352980,0.227273,0.602794
63,0.793749,0.893649,0.492188,0.887097,0.877136,0.954545,0.421371,0.378263,0.431818,0.627699
64,0.803347,0.895161,0.472026,0.856855,0.855241,0.931818,0.445565,0.395759,0.659091,0.625500
65,0.802984,0.894909,0.489163,0.834677,0.843799,0.886364,0.463710,0.387816,0.204545,0.615808
66,0.798078,0.898942,0.481855,0.858871,0.852089,0.954545,0.419355,0.408145,0.295455,0.630117
67,0.778261,0.900202,0.488407,0.877016,0.871831,0.818182,0.415323,0.391494,0.227273,0.631662
68,0.761294,0.913810,0.505292,0.862903,0.868575,0.954545,0.451613,0.410393,0.363636,0.639484
69,0.770433,0.907762,0.495716,0.901210,0.889874,0.909091,0.455645,0.409041,0.363636,0.649458
70,0.765083,0.912550,0.483367,0.870968,0.866793,0.909091,0.491935,0.430708,0.272727,0.648750
71,0.741625,0.918095,0.499496,0.858871,0.873634,0.977273,0.455645,0.434863,0.636364,0.654249
72,0.753767,0.912298,0.497480,0.895161,0.888786,0.954545,0.429435,0.406450,0.363636,0.647618
73,0.749924,0.924395,0.500000,0.889113,0.876444,0.977273,0.453629,0.425980,0.431818,0.651212
74,0.746765,0.912298,0.505040,0.893145,0.890898,0.909091,0.491935,0.448986,0.409091,0.669942
75,0.739788,0.921119,0.515121,0.877016,0.872430,0.931818,0.439516,0.402676,0.159091,0.637553
76,0.743436,0.922127,0.508317,0.889113,0.879452,0.931818,0.481855,0.383297,0.250000,0.631374
77,0.759140,0.917339,0.497732,0.881048,0.886585,0.931818,0.487903,0.428257,0.386364,0.657421
78,0.734577,0.919859,0.511593,0.852823,0.857729,0.931818,0.489919,0.434210,0.318182,0.645969
79,0.737148,0.915071,0.498992,0.899194,0.899347,0.931818,0.483871,0.433001,0.409091,0.666174
80,0.747135,0.917843,0.500252,0.887097,0.879419,0.954545,0.431452,0.400871,0.250000,0.640145
81,0.734140,0.923639,0.511845,0.903226,0.900239,0.954545,0.459677,0.421871,0.386364,0.661055
82,0.740545,0.916079,0.503276,0.854839,0.856752,0.977273,0.437500,0.411327,0.477273,0.634039
83,0.727480,0.925403,0.502520,0.893145,0.887942,0.954545,0.415323,0.392520,0.590909,0.640231
84,0.743490,0.918095,0.507812,0.883065,0.871354,0.909091,0.443548,0.401739,0.250000,0.636546
85,0.710881,0.931956,0.518397,0.866935,0.865104,0.954545,0.500000,0.455630,0.522727,0.660367
86,0.718090,0.926915,0.511089,0.899194,0.890982,0.954545,0.427419,0.407852,0.500000,0.649417
87,0.729906,0.921623,0.511089,0.883065,0.874479,0.886364,0.469758,0.429088,0.272727,0.651784
88,0.712865,0.929688,0.514365,0.868952,0.870368,0.886364,0.417339,0.362816,0.250000,0.616592
89,0.703097,0.934728,0.523690,0.870968,0.876173,0.954545,0.512097,0.463819,0.431818,0.669996
90,0.699640,0.927923,0.520413,0.883065,0.878570,0.909091,0.431452,0.425294,0.409091,0.651932
91,0.700321,0.934728,0.513357,0.895161,0.894863,0.954545,0.506048,0.453748,0.454545,0.674305
92,0.713204,0.920867,0.517389,0.889113,0.873509,0.954545,0.463710,0.431538,0.431818,0.652524
93,0.729545,0.924395,0.504536,0.899194,0.896118,0.931818,0.445565,0.423024,0.386364,0.659571
94,0.699299,0.935988,0.522681,0.875000,0.874477,0.931818,0.467742,0.421449,0.386364,0.647963
95,0.702076,0.931956,0.526462,0.915323,0.911040,0.954545,0.475806,0.447597,0.545455,0.679318
96,0.698625,0.932964,0.522429,0.903226,0.895007,0.909091,0.504032,0.441940,0.250000,0.668473
97,0.691189,0.935232,0.526210,0.911290,0.906095,0.931818,0.508065,0.474517,0.386364,0.690306
98,0.687369,0.938760,0.533770,0.905242,0.898488,0.909091,0.500000,0.445738,0.409091,0.672113
99,0.714081,0.928931,0.516633,0.875000,0.860003,0.954545,0.433468,0.414312,0.500000,0.637157
100,0.704119,0.926915,0.524446,0.868952,0.874802,0.954545,0.467742,0.407244,0.386364,0.641023
101,0.711098,0.930696,0.513609,0.872984,0.876297,0.909091,0.506048,0.433201,0.181818,0.654749
102,0.704801,0.929435,0.526462,0.893145,0.887251,0.954545,0.502016,0.447377,0.272727,0.667314
103,0.674020,0.944052,0.526966,0.875000,0.878110,0.954545,0.508065,0.474320,0.568182,0.676215
104,0.671406,0.943044,0.544607,0.919355,0.910730,0.931818,0.495968,0.453512,0.386364,0.682121
105,0.682871,0.941280,0.522177,0.905242,0.902683,0.954545,0.491935,0.476601,0.477273,0.689642
106,0.680334,0.935988,0.534274,0.889113,0.904435,0.909091,0.512097,0.473141,0.477273,0.688788
107,0.685328,0.938004,0.531502,0.897177,0.896972,0.954545,0.469758,0.438905,0.363636,0.667938
108,0.664501,0.948841,0.543347,0.913306,0.906351,0.954545,0.493952,0.423960,0.250000,0.665155
109,0.680398,0.938508,0.528730,0.911290,0.904165,0.954545,0.487903,0.431634,0.295455,0.667899
110,0.671703,0.938760,0.532762,0.875000,0.882852,0.931818,0.407258,0.379999,0.363636,0.631425
111,0.683047,0.930948,0.523438,0.911290,0.907849,0.931818,0.463710,0.444994,0.363636,0.676421
112,0.664147,0.940524,0.530494,0.909274,0.899306,0.931818,0.439516,0.413079,0.409091,0.656192
113,0.652910,0.948337,0.537046,0.905242,0.912449,0.954545,0.435484,0.426494,0.340909,0.669471
114,0.726818,0.926915,0.509829,0.909274,0.894103,0.954545,0.475806,0.447078,0.340909,0.670590
115,0.680659,0.933720,0.528478,0.929435,0.925284,0.977273,0.469758,0.444980,0.522727,0.685132
116,0.656947,0.946573,0.542087,0.903226,0.891478,0.954545,0.479839,0.440018,0.568182,0.665748
117,0.663834,0.948085,0.535534,0.921371,0.913235,0.977273,0.497984,0.464504,0.613636,0.688870
