epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
1,1.812899,0.294355,0.293095,0.294355,0.064976,0.000000,0.294355,0.064976,0.000000,0.064976
2,1.794597,0.292843,0.291079,0.296371,0.071391,0.000000,0.290323,0.064386,0.000000,0.067889
3,1.768420,0.330645,0.264365,0.294355,0.064976,0.000000,0.294355,0.064976,0.000000,0.064976
4,1.693993,0.392641,0.305948,0.433468,0.252103,0.000000,0.324597,0.169282,0.000000,0.210692
5,1.585228,0.452873,0.313508,0.461694,0.338526,0.000000,0.322581,0.244476,0.000000,0.291501
6,1.509741,0.489415,0.325353,0.506048,0.391905,0.000000,0.308468,0.221429,0.000000,0.306667
7,1.438114,0.526210,0.335181,0.500000,0.435611,0.204545,0.306452,0.213738,0.000000,0.324675
8,1.397823,0.564516,0.333669,0.554435,0.504964,0.136364,0.364919,0.285798,0.000000,0.395381
9,1.370730,0.591734,0.347782,0.592742,0.541936,0.090909,0.332661,0.253855,0.000000,0.397896
10,1.315599,0.630544,0.338710,0.618952,0.598009,0.727273,0.328629,0.274208,0.136364,0.436108
11,1.275119,0.664062,0.350050,0.681452,0.655709,0.613636,0.350806,0.265166,0.045455,0.460437
12,1.249954,0.683216,0.353831,0.653226,0.640026,0.636364,0.334677,0.271883,0.000000,0.455955
13,1.232263,0.683720,0.368196,0.713710,0.694576,0.772727,0.393145,0.341264,0.113636,0.517920
14,1.180651,0.712198,0.370968,0.687500,0.663598,0.545455,0.368952,0.271949,0.000000,0.467774
15,1.160256,0.734123,0.361139,0.735887,0.735489,0.863636,0.354839,0.326137,0.090909,0.530813
16,1.137409,0.735635,0.384577,0.745968,0.730078,0.886364,0.379032,0.324176,0.136364,0.527127
17,1.099650,0.757560,0.387601,0.758065,0.735413,0.909091,0.399194,0.309209,0.113636,0.522311
18,1.075669,0.771169,0.398690,0.758065,0.753673,0.863636,0.370968,0.339255,0.295455,0.546464
19,1.062428,0.773690,0.403478,0.792339,0.797995,0.795455,0.397177,0.336915,0.045455,0.567455
20,1.022356,0.788810,0.427419,0.794355,0.782207,0.977273,0.387097,0.329298,0.204545,0.555752
21,1.026688,0.794607,0.408518,0.786290,0.764351,0.977273,0.401210,0.327616,0.181818,0.545983
22,1.016274,0.790827,0.435232,0.770161,0.748227,0.909091,0.403226,0.350493,0.181818,0.549360
23,0.984953,0.810736,0.438004,0.798387,0.784856,0.954545,0.354839,0.305729,0.318182,0.545293
24,0.967693,0.816784,0.438508,0.808468,0.801014,0.863636,0.415323,0.313955,0.045455,0.557484
25,0.963834,0.824345,0.439264,0.782258,0.768794,1.000000,0.443548,0.402865,0.454545,0.585830
26,0.943235,0.825353,0.459173,0.814516,0.809092,0.954545,0.481855,0.383723,0.181818,0.596408
27,0.921508,0.837198,0.466230,0.832661,0.822338,0.954545,0.431452,0.344635,0.181818,0.583487
28,0.909135,0.846522,0.465474,0.854839,0.831444,0.886364,0.385081,0.318563,0.090909,0.575003
29,0.915997,0.846774,0.453125,0.836694,0.838142,0.977273,0.463710,0.387125,0.227273,0.612634
30,0.898662,0.852823,0.462450,0.832661,0.827277,1.000000,0.449597,0.399136,0.386364,0.613206
31,0.890797,0.852823,0.468750,0.822581,0.818198,0.954545,0.443548,0.408795,0.386364,0.613496
32,0.892474,0.857611,0.468246,0.824597,0.824219,0.909091,0.473790,0.368300,0.250000,0.596260
33,0.870681,0.866179,0.463962,0.822581,0.817328,0.863636,0.485887,0.372725,0.068182,0.595027
34,0.856160,0.860635,0.490675,0.836694,0.843585,0.954545,0.502016,0.439337,0.227273,0.641461
35,0.843564,0.875000,0.486895,0.850806,0.824134,0.977273,0.443548,0.387938,0.409091,0.606036
36,0.837229,0.871976,0.489667,0.818548,0.811790,0.909091,0.463710,0.385144,0.295455,0.598467
37,0.826078,0.880292,0.498236,0.850806,0.851491,0.909091,0.479839,0.434290,0.272727,0.642891
38,0.853948,0.870716,0.475302,0.860887,0.870216,0.977273,0.475806,0.390087,0.159091,0.630152
39,0.822054,0.878024,0.493448,0.864919,0.870969,0.977273,0.477823,0.414202,0.227273,0.642586
40,0.806991,0.882056,0.502520,0.848790,0.828564,0.840909,0.449597,0.374774,0.159091,0.601669
