epoch,train_total_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_accuracy,val_fgsm_macro_f1,val_fgsm_fall_recall,selection_score
1,1.816724,0.290827,0.290827,0.294355,0.064976,0.000000,0.294355,0.064976,0.000000,0.064976
2,1.799136,0.297127,0.295867,0.294355,0.104202,0.000000,0.290323,0.103120,0.000000,0.103661
3,1.795047,0.295111,0.291331,0.294355,0.064976,0.000000,0.294355,0.065077,0.000000,0.065026
4,1.768448,0.323085,0.271169,0.350806,0.131620,0.000000,0.300403,0.111732,0.000000,0.121676
5,1.696440,0.378276,0.293599,0.415323,0.233850,0.000000,0.306452,0.178808,0.000000,0.206329
6,1.584053,0.449093,0.330393,0.445565,0.326970,0.000000,0.304435,0.214193,0.000000,0.270581
7,1.505193,0.488155,0.340726,0.471774,0.343087,0.022727,0.284274,0.190448,0.000000,0.266767
8,1.473840,0.505292,0.335685,0.479839,0.360014,0.000000,0.332661,0.232510,0.000000,0.296262
9,1.437828,0.526966,0.340474,0.564516,0.521687,0.568182,0.340726,0.266516,0.068182,0.394101
10,1.407668,0.554183,0.342994,0.512097,0.468545,0.363636,0.324597,0.251076,0.045455,0.359811
11,1.377301,0.575857,0.347278,0.600806,0.577646,0.522727,0.356855,0.281261,0.045455,0.429453
12,1.324729,0.605343,0.349042,0.606855,0.598792,0.522727,0.302419,0.252361,0.068182,0.425577
13,1.308976,0.625252,0.345766,0.683468,0.670540,0.727273,0.360887,0.299059,0.068182,0.484800
14,1.277376,0.659526,0.341734,0.643145,0.636599,0.590909,0.314516,0.247718,0.068182,0.442159
15,1.278578,0.668095,0.351058,0.693548,0.676560,0.590909,0.383065,0.298881,0.000000,0.487720
16,1.224103,0.694556,0.368448,0.709677,0.685195,0.818182,0.377016,0.301548,0.227273,0.493372
17,1.192524,0.717742,0.377520,0.729839,0.710613,0.818182,0.336694,0.301607,0.136364,0.506110
