metric,value
run_name,bilstm_seed44
best_epoch,151
epochs_run,171
max_epochs,200
early_stopped,True
best_val_macro_f1,0.876343
best_val_accuracy,0.895161
best_val_loss,0.335279
best_train_accuracy,0.873740
best_train_loss,0.371615
test_loss,0.392908
test_accuracy,0.878000
test_macro_f1,0.840591
fall_recall,0.911111
missed_fall_rate,0.088889
fall_precision,0.931818
fall_f1,0.921348
elapsed_seconds,902.460208
