class_index,class_name,precision,recall,f1,support
0,lie down,0.783333,0.712121,0.746032,66
1,fall,0.886364,0.866667,0.876404,45
2,walk,0.897260,0.891156,0.894198,147
3,pickup,0.826087,0.760000,0.791667,50
4,run,0.854962,0.925620,0.888889,121
5,sit down,0.652174,0.750000,0.697674,40
6,stand up,0.777778,0.677419,0.724138,31
