metric,value
attack,pgd
split,legacy
epsilon,0.030000
alpha,0.005000
pgd_steps,10
n_windows,996
clean_accuracy,0.825301
clean_macro_f1,0.795253
clean_fall_recall,0.865169
attack_accuracy,0.011044
attack_macro_f1,0.015631
fall_recall,0.000000
missed_fall_rate,1.000000
fall_precision,0.000000
fall_f1,0.000000
fall_true_positive,0
fall_false_negative,89
fall_false_positive,95
fall_true_negative,812
false_fall_alarm_count,95
prediction_change_rate,0.893574
