epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
118,0.709090,0.753780,0.693707,0.747984,0.692707
119,0.690673,0.754284,0.694979,0.725806,0.676018
120,0.656223,0.762601,0.667126,0.758065,0.707594
121,0.659188,0.763105,0.673821,0.737903,0.687409
122,0.691894,0.743700,0.675962,0.745968,0.688684
123,0.671576,0.754284,0.685959,0.729839,0.673110
124,0.648877,0.763357,0.644838,0.756048,0.706797
125,0.589177,0.786038,0.610581,0.756048,0.708701
126,0.615285,0.772933,0.715971,0.729839,0.695935
127,0.592603,0.782510,0.759125,0.709677,0.648876
128,0.645511,0.769909,0.669794,0.731855,0.665197
129,0.594629,0.784274,0.624687,0.766129,0.718524
130,0.586618,0.786290,0.633144,0.766129,0.727556
131,0.599987,0.782006,0.634293,0.758065,0.722328
132,0.581609,0.788054,0.671650,0.733871,0.699699
133,0.601405,0.782510,0.585494,0.780242,0.729738
134,0.582956,0.782006,0.592652,0.782258,0.733112
135,0.575551,0.786542,0.582893,0.790323,0.745007
136,0.578549,0.788810,0.945202,0.675403,0.591537
137,0.662685,0.768649,0.603768,0.762097,0.722756
138,0.564247,0.795867,0.594423,0.768145,0.721402
139,0.527631,0.809980,0.576336,0.778226,0.723465
140,0.517402,0.812500,0.593446,0.780242,0.731124
141,0.567014,0.798891,0.595971,0.780242,0.720602
142,0.567170,0.792843,0.759377,0.729839,0.700655
143,0.617414,0.783014,0.770960,0.739919,0.701074
144,0.553904,0.800655,0.539649,0.804435,0.756153
145,0.570960,0.791835,0.570672,0.800403,0.764741
146,0.507460,0.817036,0.548685,0.800403,0.760187
147,0.522959,0.806956,0.662778,0.735887,0.688739
148,0.588420,0.781754,0.585114,0.790323,0.747597
149,0.497440,0.817036,0.588886,0.786290,0.752120
150,0.514148,0.817792,0.535885,0.808468,0.778047
151,0.498406,0.822581,0.550461,0.798387,0.757982
152,0.527559,0.816532,0.617428,0.766129,0.714676
153,0.528594,0.812752,0.531071,0.818548,0.773938
154,0.485576,0.828629,0.547778,0.796371,0.750979
155,0.493287,0.820060,0.699175,0.737903,0.692852
156,0.492614,0.820817,0.513590,0.814516,0.782510
157,0.479537,0.826865,0.629710,0.776210,0.741083
158,0.522797,0.815020,0.556228,0.810484,0.782099
159,0.492691,0.819556,0.744725,0.735887,0.671157
160,0.564918,0.796371,0.610324,0.794355,0.735464
161,0.513225,0.814264,0.515230,0.810484,0.763749
162,0.454086,0.839970,0.712034,0.727823,0.720503
163,0.510011,0.819052,0.514101,0.842742,0.813579
164,0.446992,0.839718,0.583478,0.794355,0.757906
165,0.457255,0.839970,0.490746,0.812500,0.757103
166,0.445932,0.842742,0.448369,0.832661,0.807920
167,0.485116,0.826361,0.569948,0.800403,0.767546
168,0.437253,0.849546,0.501960,0.836694,0.816699
169,0.432097,0.848286,0.536860,0.802419,0.764350
170,0.904982,0.719758,1.234688,0.540323,0.439836
171,0.891915,0.688004,0.745812,0.745968,0.628674
172,0.719211,0.749748,0.730264,0.752016,0.692076
173,0.643682,0.780494,0.841290,0.701613,0.625521
174,0.615156,0.792843,0.639022,0.778226,0.747611
175,0.567920,0.814516,0.571385,0.802419,0.752160
176,0.566076,0.806704,0.629956,0.764113,0.728854
177,0.528183,0.821825,0.614453,0.780242,0.746844
178,0.478652,0.836442,0.509631,0.824597,0.803449
179,0.485104,0.830645,0.512788,0.830645,0.794702
180,0.478906,0.833417,0.588838,0.778226,0.759737
181,0.474808,0.832661,0.535983,0.822581,0.786454
182,0.457512,0.844758,0.549761,0.806452,0.763379
183,0.439098,0.842490,0.490846,0.814516,0.768185
184,0.461506,0.834173,0.557324,0.808468,0.770298
185,0.472916,0.831905,0.480946,0.828629,0.793246
186,0.409321,0.853327,0.608684,0.796371,0.784375
187,0.403794,0.855091,0.469127,0.816532,0.785217
188,0.406607,0.856603,0.486364,0.834677,0.796558
