attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.886546,0.858425,0.921348,0.078652,0.942529,0.931818,82,7,5,902,5,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.787149,0.756007,0.808989,0.191011,0.911392,0.857143,72,17,7,900,7,0.105422,0.112360,0.099398
fgsm,legacy,0.005000,n/a,n/a,0.659639,0.623247,0.640449,0.359551,0.802817,0.712500,57,32,14,893,14,0.236948,0.280899,0.226908
fgsm,legacy,0.007500,n/a,n/a,0.535141,0.504073,0.494382,0.505618,0.687500,0.575163,44,45,20,887,20,0.363454,0.426966,0.351406
fgsm,legacy,0.010000,n/a,n/a,0.445783,0.410440,0.314607,0.685393,0.538462,0.397163,28,61,24,883,24,0.454819,0.606742,0.440763
fgsm,legacy,0.012500,n/a,n/a,0.342369,0.293291,0.078652,0.921348,0.179487,0.109375,7,82,32,875,32,0.559237,0.842697,0.544177
fgsm,legacy,0.015000,n/a,n/a,0.278112,0.232213,0.056180,0.943820,0.106383,0.073529,5,84,42,865,42,0.625502,0.865169,0.608434
fgsm,legacy,0.017500,n/a,n/a,0.230924,0.191665,0.033708,0.966292,0.054545,0.041667,3,86,52,855,52,0.676707,0.887640,0.655622
fgsm,legacy,0.020000,n/a,n/a,0.197791,0.160649,0.022472,0.977528,0.033898,0.027027,2,87,57,850,57,0.709839,0.898876,0.688755
fgsm,legacy,0.025000,n/a,n/a,0.144578,0.120540,0.022472,0.977528,0.029851,0.025641,2,87,65,842,65,0.765060,0.898876,0.741968
fgsm,legacy,0.030000,n/a,n/a,0.098394,0.080042,0.000000,1.000000,0.000000,0.000000,0,89,67,840,67,0.815261,0.921348,0.788153
fgsm,legacy,0.035000,n/a,n/a,0.067269,0.053486,0.000000,1.000000,0.000000,0.000000,0,89,64,843,64,0.847390,0.921348,0.819277
fgsm,legacy,0.040000,n/a,n/a,0.048193,0.034474,0.000000,1.000000,0.000000,0.000000,0,89,65,842,65,0.866466,0.921348,0.838353
fgsm,legacy,0.045000,n/a,n/a,0.038153,0.025521,0.000000,1.000000,0.000000,0.000000,0,89,62,845,62,0.879518,0.921348,0.848394
fgsm,legacy,0.050000,n/a,n/a,0.030120,0.020564,0.000000,1.000000,0.000000,0.000000,0,89,54,853,54,0.889558,0.921348,0.856426
fgsm,legacy,0.055000,n/a,n/a,0.026104,0.017237,0.000000,1.000000,0.000000,0.000000,0,89,54,853,54,0.893574,0.921348,0.860442
fgsm,legacy,0.060000,n/a,n/a,0.021084,0.014357,0.000000,1.000000,0.000000,0.000000,0,89,60,847,60,0.899598,0.921348,0.865462
fgsm,legacy,0.075000,n/a,n/a,0.016064,0.009731,0.000000,1.000000,0.000000,0.000000,0,89,64,843,64,0.908635,0.921348,0.870482
