class_index,class_name,precision,recall,f1,support
0,lie down,0.877193,0.757576,0.813008,66
1,fall,0.931818,0.911111,0.921348,45
2,walk,0.931507,0.925170,0.928328,147
3,pickup,0.875000,0.840000,0.857143,50
4,run,0.888060,0.983471,0.933333,121
5,sit down,0.666667,0.800000,0.727273,40
6,stand up,0.826087,0.612903,0.703704,31
