class_index,class_name,precision,recall,f1,support
0,lie down,0.857143,0.636364,0.730435,66
1,fall,0.851064,0.888889,0.869565,45
2,walk,0.863636,0.904762,0.883721,147
3,pickup,0.770833,0.740000,0.755102,50
4,run,0.851562,0.900826,0.875502,121
5,sit down,0.571429,0.700000,0.629213,40
6,stand up,0.720000,0.580645,0.642857,31
