metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.857430
clean_macro_f1,0.834725
clean_fall_recall,0.887640
attack_accuracy,0.123494
attack_macro_f1,0.102850
fall_recall,0.011236
missed_fall_rate,0.988764
fall_precision,0.011364
fall_f1,0.011299
fall_true_positive,1
fall_false_negative,88
fall_false_positive,87
fall_true_negative,820
false_fall_alarm_count,87
prediction_change_rate,0.782129
