seed,clean_qualified,clean_accuracy,clean_macro_f1,clean_fall_recall,clean_fall_precision,clean_TP,clean_FN,clean_FP,clean_TN,fgsm_0p03_fall_recall,fgsm_0p03_accuracy,fgsm_0p03_macro_f1,fgsm_0p03_TP,fgsm_0p03_FN,fgsm_0p03_FP,fgsm_0p03_TN,pgd_0p03_fall_recall,pgd_0p03_accuracy,pgd_0p03_macro_f1,pgd_0p03_TP,pgd_0p03_FN,pgd_0p03_FP,pgd_0p03_TN,clean_source,fgsm03_source,pgd03_source
42,yes,0.814000,0.769485,0.888889,0.851064,40,5,7,448,0.000000,0.090000,0.074878,0,45,30,425,0.000000,0.014000,0.018144,0,45,55,400,results/cross_architecture/bilstm/bilstm_seed42_fall_binary_metrics.csv,results/cross_architecture/bilstm/bilstm_seed42_fgsm_safety_metrics_test_epsilon_0_03.csv,results/cross_architecture/bilstm/bilstm_seed42_pgd_safety_metrics_test_epsilon_0_03.csv
43,yes,0.830000,0.780723,0.822222,0.880952,37,8,5,450,0.000000,0.130000,0.102636,0,45,38,417,0.000000,0.032000,0.028526,0,45,53,402,results/cross_architecture/bilstm/bilstm_seed43_fall_binary_metrics.csv,results/cross_architecture/bilstm/bilstm_seed43_fgsm_safety_metrics_test_epsilon_0_03.csv,results/cross_architecture/bilstm/bilstm_seed43_pgd_safety_metrics_test_epsilon_0_03.csv
44,yes,0.878000,0.840591,0.911111,0.931818,41,4,3,452,0.000000,0.088000,0.071892,0,45,33,422,0.000000,0.018000,0.009600,0,45,46,409,results/cross_architecture/bilstm/bilstm_seed44_fall_binary_metrics.csv,results/cross_architecture/bilstm/bilstm_seed44_fgsm_safety_metrics_test_epsilon_0_03.csv,results/cross_architecture/bilstm/bilstm_seed44_pgd_safety_metrics_test_epsilon_0_03.csv
45,yes,0.808000,0.769358,0.933333,0.736842,42,3,15,440,0.111111,0.090000,0.108255,5,40,63,392,0.022222,0.032000,0.045145,1,44,77,378,results/cross_architecture/bilstm/bilstm_seed45_fall_binary_metrics.csv,results/cross_architecture/bilstm/bilstm_seed45_fgsm_safety_metrics_test_epsilon_0_03.csv,results/cross_architecture/bilstm/bilstm_seed45_pgd_safety_metrics_test_epsilon_0_03.csv
46,yes,0.836000,0.802715,0.866667,0.886364,39,6,5,450,0.000000,0.118000,0.098199,0,45,44,411,0.000000,0.028000,0.028841,0,45,54,401,results/cross_architecture/bilstm/bilstm_seed46_fall_binary_metrics.csv,results/cross_architecture/bilstm/bilstm_seed46_fgsm_safety_metrics_test_epsilon_0_03.csv,results/cross_architecture/bilstm/bilstm_seed46_pgd_safety_metrics_test_epsilon_0_03.csv
