metric,value
attack,pgd
split,legacy
epsilon,0.030000
alpha,0.005000
pgd_steps,10
n_windows,996
clean_accuracy,0.886546
clean_macro_f1,0.858425
clean_fall_recall,0.921348
attack_accuracy,0.025100
attack_macro_f1,0.015285
fall_recall,0.000000
missed_fall_rate,1.000000
fall_precision,0.000000
fall_f1,0.000000
fall_true_positive,0
fall_false_negative,89
fall_false_positive,96
fall_true_negative,811
false_fall_alarm_count,96
prediction_change_rate,0.896586
