class_index,class_name,precision,recall,f1,support
0,lie down,0.886792,0.712121,0.789916,66
1,fall,0.880952,0.822222,0.850575,45
2,walk,0.875000,0.904762,0.889632,147
3,pickup,0.678571,0.760000,0.716981,50
4,run,0.858209,0.950413,0.901961,121
5,sit down,0.743590,0.725000,0.734177,40
6,stand up,0.666667,0.516129,0.581818,31
