attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.822289,0.792746,0.955056,0.044944,0.772727,0.854271,85,4,25,882,25,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.719880,0.688425,0.921348,0.078652,0.635659,0.752294,82,7,47,860,47,0.113454,0.033708,0.102410
pgd,legacy,0.005000,10,0.000833,0.570281,0.545426,0.820225,0.179775,0.483444,0.608333,73,16,78,829,78,0.275100,0.134831,0.252008
pgd,legacy,0.007500,10,0.001250,0.436747,0.427139,0.674157,0.325843,0.405405,0.506329,60,29,88,819,88,0.412651,0.280899,0.385542
pgd,legacy,0.010000,10,0.001667,0.307229,0.314688,0.528090,0.471910,0.307190,0.388430,47,42,106,801,106,0.549197,0.426966,0.515060
pgd,legacy,0.012500,10,0.002083,0.229920,0.241573,0.438202,0.561798,0.246835,0.315789,39,50,119,788,119,0.633534,0.516854,0.592369
pgd,legacy,0.015000,10,0.002500,0.159639,0.172572,0.280899,0.719101,0.168919,0.210970,25,64,123,784,123,0.704819,0.674157,0.662651
pgd,legacy,0.017500,10,0.002917,0.112450,0.124437,0.146067,0.853933,0.092857,0.113537,13,76,127,780,127,0.756024,0.808989,0.709839
pgd,legacy,0.020000,10,0.003333,0.081325,0.090976,0.056180,0.943820,0.037313,0.044843,5,84,129,778,129,0.793173,0.898876,0.740964
pgd,legacy,0.025000,10,0.004167,0.045181,0.055635,0.011236,0.988764,0.007463,0.008969,1,88,133,774,133,0.838353,0.943820,0.777108
pgd,legacy,0.030000,10,0.005000,0.030120,0.043095,0.011236,0.988764,0.007246,0.008811,1,88,137,770,137,0.860442,0.943820,0.792169
pgd,legacy,0.035000,10,0.005833,0.023092,0.033421,0.000000,1.000000,0.000000,0.000000,0,89,139,768,139,0.870482,0.955056,0.799197
pgd,legacy,0.040000,10,0.006667,0.011044,0.015962,0.000000,1.000000,0.000000,0.000000,0,89,146,761,146,0.883534,0.955056,0.811245
pgd,legacy,0.045000,10,0.007500,0.007028,0.010147,0.000000,1.000000,0.000000,0.000000,0,89,144,763,144,0.891566,0.955056,0.815261
pgd,legacy,0.050000,10,0.008333,0.007028,0.009313,0.000000,1.000000,0.000000,0.000000,0,89,146,761,146,0.896586,0.955056,0.815261
pgd,legacy,0.055000,10,0.009167,0.003012,0.003385,0.000000,1.000000,0.000000,0.000000,0,89,142,765,142,0.905622,0.955056,0.819277
pgd,legacy,0.060000,10,0.010000,0.003012,0.003331,0.000000,1.000000,0.000000,0.000000,0,89,141,766,141,0.906627,0.955056,0.819277
pgd,legacy,0.075000,10,0.012500,0.001004,0.000768,0.000000,1.000000,0.000000,0.000000,0,89,145,762,145,0.922691,0.955056,0.821285
