model,family,representation,family_representative,epsilon,condition,tau_far10,recall_far10,FAR_far10,TP_far10,FN_far10,FP_far10,TN_far10,tau_far15,recall_far15,FAR_far15,TP_far15,FN_far15,FP_far15,TN_far15,tau_far20,recall_far20,FAR_far20,TP_far20,FN_far20,FP_far20,TN_far20,val_auroc,H15_pass_val,F20_pass_val
D14B_seed44,D14_pauc_rank,lenet,True,0.000,clean,0.169901,0.9773,0.0686,43,1,31,421,0.169901,0.9773,0.0686,43,1,31,421,0.103409,1.0,0.1593,44,0,72,380,0.99,True,True
D14B_seed44,D14_pauc_rank,lenet,True,0.030,pgd,0.207571,0.5227,0.0951,23,21,43,409,0.166617,0.6591,0.1482,29,15,67,385,0.138483,0.8182,0.1925,36,8,87,365,0.8732,False,True
D14B_seed43,D14_pauc_rank,lenet,False,0.000,clean,0.170063,0.9773,0.0686,43,1,31,421,0.170063,0.9773,0.0686,43,1,31,421,0.108644,1.0,0.1615,44,0,73,379,0.9891,True,True
D14B_seed43,D14_pauc_rank,lenet,False,0.030,pgd,0.209947,0.5455,0.0973,24,20,44,408,0.174463,0.6818,0.146,30,14,66,386,0.14162,0.8409,0.1903,37,7,86,366,0.8769,False,True
VD_seed42,variantD,lenet,True,0.000,clean,0.571962,0.9773,0.031,43,1,14,438,0.571962,0.9773,0.031,43,1,14,438,0.571962,0.9773,0.031,43,1,14,438,0.9889,True,True
VD_seed42,variantD,lenet,True,0.030,pgd,0.99924,0.0,0.0022,0,44,1,451,0.99924,0.0,0.0022,0,44,1,451,0.99924,0.0,0.0022,0,44,1,451,0.6756,False,False
VD_seed43,variantD,lenet,False,0.000,clean,0.291378,1.0,0.0996,44,0,45,407,0.291378,1.0,0.0996,44,0,45,407,0.291378,1.0,0.0996,44,0,45,407,0.995,True,True
VD_seed43,variantD,lenet,False,0.030,pgd,0.994964,0.0,0.0022,0,44,1,451,0.994964,0.0,0.0022,0,44,1,451,0.994964,0.0,0.0022,0,44,1,451,0.6528,False,False
G1_safety_s44,G1_hardneg,lenet,True,0.000,clean,0.20375,1.0,0.0841,44,0,38,414,0.20375,1.0,0.0841,44,0,38,414,0.20375,1.0,0.0841,44,0,38,414,0.9945,True,True
G1_safety_s44,G1_hardneg,lenet,True,0.030,pgd,0.326796,0.4091,0.0973,18,26,44,408,0.297947,0.5682,0.1394,25,19,63,389,0.206332,0.7273,0.1991,32,12,90,362,0.8518,False,False
G1_lowFA_s42,G1_hardneg,lenet,False,0.000,clean,0.251887,0.9773,0.0111,43,1,5,447,0.251887,0.9773,0.0111,43,1,5,447,0.072538,1.0,0.1615,44,0,73,379,0.9942,True,True
G1_lowFA_s42,G1_hardneg,lenet,False,0.030,pgd,0.164404,0.4773,0.0929,21,23,42,410,0.101316,0.6136,0.1416,27,17,64,388,0.056573,0.8864,0.1991,39,5,90,362,0.8756,False,True
G1_maxrec_s42,G1_hardneg,lenet,False,0.000,clean,0.273851,0.9773,0.0243,43,1,11,441,0.273851,0.9773,0.0243,43,1,11,441,0.273851,0.9773,0.0243,43,1,11,441,0.9924,True,True
G1_maxrec_s42,G1_hardneg,lenet,False,0.030,pgd,0.318273,0.2045,0.0951,9,35,43,409,0.281833,0.4091,0.1482,18,26,67,385,0.252891,0.5227,0.1881,23,21,85,367,0.8079,False,False
BLF_macroF1,BiLSTM_finetune,bilstm,True,0.000,clean,0.182492,1.0,0.0597,44,0,27,425,0.182492,1.0,0.0597,44,0,27,425,0.182492,1.0,0.0597,44,0,27,425,0.994,True,True
BLF_macroF1,BiLSTM_finetune,bilstm,True,0.030,pgd,0.543669,0.0,0.0022,0,44,1,451,0.199468,0.1136,0.1416,5,39,64,388,0.160894,0.25,0.1836,11,33,83,369,0.7257,False,False
BLF_maxrec,BiLSTM_finetune,bilstm,False,0.000,clean,0.231512,1.0,0.0487,44,0,22,430,0.231512,1.0,0.0487,44,0,22,430,0.231512,1.0,0.0487,44,0,22,430,0.9932,True,True
BLF_maxrec,BiLSTM_finetune,bilstm,False,0.030,pgd,0.605073,0.0,0.0022,0,44,1,451,0.260799,0.0909,0.1482,4,40,67,385,0.260799,0.0909,0.1482,4,40,67,385,0.6916,False,False
BLF_safety,BiLSTM_finetune,bilstm,False,0.000,clean,0.16239,1.0,0.0819,44,0,37,415,0.16239,1.0,0.0819,44,0,37,415,0.16239,1.0,0.0819,44,0,37,415,0.9902,True,True
BLF_safety,BiLSTM_finetune,bilstm,False,0.030,pgd,0.279488,0.0227,0.0708,1,43,32,420,0.209772,0.0909,0.1438,4,40,65,387,0.160513,0.2273,0.1903,10,34,86,366,0.7104,False,False
