epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,3.054417,1.956017,0.195057,0.903343,0.000000,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,2.995761,1.965778,0.084129,0.945854,0.000000,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
3,3.021025,1.971170,0.043108,1.006747,0.000000,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
4,2.959096,1.972529,0.049964,0.936603,0.000000,0.278226,0.117390,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
5,2.992222,1.969357,0.035584,0.987281,0.000000,0.286290,0.098373,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
6,2.991972,1.970396,0.038128,0.983448,0.000000,0.330645,0.179235,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
7,2.985676,1.963682,0.048119,0.973875,0.000000,0.354839,0.133992,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
8,2.959666,1.963680,0.065044,0.930941,0.000000,0.304435,0.160648,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
9,2.991012,1.950748,0.072200,0.968064,0.000000,0.409274,0.191789,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
10,2.937735,1.941527,0.114926,0.881282,0.000000,0.314516,0.151673,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
11,2.879902,1.913978,0.119859,0.846065,0.000000,0.395161,0.227493,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
12,2.827237,1.856030,0.175575,0.795632,0.000000,0.403226,0.244378,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
13,2.782183,1.780686,0.250232,0.751265,0.000000,0.423387,0.294486,0.772727,0.272727,0.181818,37,56,0.102876,0.369258,0,0,0,0,1
14,2.690008,1.667120,0.473903,0.548985,0.000000,0.256048,0.234168,0.840909,0.840909,0.840909,278,285,0.622788,0.694539,0,0,0,0,0
15,2.683213,1.657378,0.437422,0.588412,0.000000,0.483871,0.381258,0.181818,0.000000,0.000000,14,15,0.032080,0.060428,0,0,0,0,1
16,2.492456,1.551036,0.461821,0.479599,0.000000,0.497984,0.447336,0.977273,0.750000,0.590909,137,158,0.326327,0.650322,0,0,0,0,1
17,2.396107,1.478982,0.546369,0.370757,0.000000,0.487903,0.423067,0.909091,0.681818,0.454545,106,133,0.264381,0.564471,0,0,0,0,0
18,2.379405,1.460998,0.487608,0.430799,0.000000,0.544355,0.455047,0.931818,0.181818,0.113636,46,66,0.123894,0.383065,0,0,0,0,1
19,2.315676,1.461043,0.483017,0.371615,0.000000,0.548387,0.451499,0.977273,0.704545,0.454545,93,118,0.233407,0.593705,0,0,0,0,0
20,2.263243,1.419637,0.501627,0.341980,0.000000,0.548387,0.482004,0.977273,0.681818,0.363636,97,121,0.241150,0.549749,0,0,0,0,1
21,2.113945,1.355261,0.474552,0.284132,0.000000,0.485887,0.391994,0.977273,0.681818,0.590909,106,147,0.279867,0.648150,0,0,0,0,0
22,2.164848,1.355763,0.509582,0.299503,0.000000,0.536290,0.454995,0.909091,0.590909,0.363636,94,111,0.226770,0.518232,0,0,0,0,0
23,2.103314,1.325659,0.518511,0.259143,0.000000,0.532258,0.442229,1.000000,0.636364,0.363636,110,134,0.269912,0.550282,0,0,0,0,0
24,2.051997,1.324993,0.441736,0.285269,0.000000,0.524194,0.459750,0.977273,0.863636,0.840909,162,199,0.399336,0.766885,0,0,0,0,0
25,1.883689,1.247539,0.391569,0.244581,0.000000,0.635081,0.594136,0.954545,0.522727,0.227273,75,104,0.198009,0.468835,0,0,0,0,1
26,2.007713,1.267963,0.477099,0.262651,0.000000,0.627016,0.592536,0.977273,0.795455,0.522727,100,139,0.264381,0.630380,0,0,0,0,0
27,2.014407,1.254253,0.468379,0.291776,0.000000,0.649194,0.622822,0.954545,0.340909,0.136364,43,75,0.130531,0.416492,0,0,0,0,1
28,2.104596,1.322179,0.435077,0.347340,0.000000,0.602823,0.551519,0.977273,0.840909,0.727273,103,148,0.277655,0.725644,0,0,0,0,0
29,1.805778,1.207116,0.385295,0.213367,0.000000,0.669355,0.640201,0.977273,0.750000,0.477273,97,117,0.236726,0.608146,0,0,0,0,1
30,1.804013,1.180340,0.398642,0.225032,0.000000,0.649194,0.633357,1.000000,0.772727,0.613636,104,140,0.269912,0.676418,0,0,0,0,0
31,1.806111,1.166739,0.400878,0.238494,0.000000,0.689516,0.666349,0.977273,0.681818,0.272727,72,99,0.189159,0.514039,0,0,0,0,1
