epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,3.088516,1.998509,0.027043,0.998588,0.032188,0.080645,0.021322,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,3.013147,1.998329,0.005288,0.992179,0.008675,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,3.050209,1.999775,0.004081,1.033789,0.006282,0.280242,0.096171,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
4,2.976830,1.999678,0.003457,0.962573,0.005561,0.272177,0.102235,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
5,3.015901,1.997058,0.003864,1.002973,0.006003,0.308468,0.081317,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
6,3.009792,1.998353,0.001997,1.001897,0.003772,0.330645,0.178792,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
7,3.004632,1.996787,0.002221,0.997087,0.004268,0.397177,0.205817,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
8,2.968731,1.996679,0.001703,0.963470,0.003439,0.302419,0.190682,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
9,3.017336,1.996043,0.002378,1.010983,0.003966,0.366935,0.191708,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
10,2.953552,1.996484,0.002868,0.945636,0.004282,0.338710,0.157969,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
11,2.917309,1.994978,0.002170,0.913162,0.003500,0.306452,0.149336,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
12,2.917638,1.994497,0.002875,0.912089,0.004089,0.393145,0.286132,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
13,2.944533,1.992935,0.002828,0.940643,0.004063,0.423387,0.319348,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
