epoch,train_loss,mean_motion_penalty,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
47,0.817299,0.036397,54.562500,0.551411,0.877016,0.868720,0.954545,0.204545,0.022727,17,28,0.049779,0.359795,0,1
48,0.873356,0.048674,54.343750,0.540323,0.824597,0.808821,0.977273,0.363636,0.045455,46,68,0.126106,0.386253,0,0
49,0.946959,0.049233,53.625000,0.499496,0.747984,0.744656,0.954545,0.500000,0.250000,86,126,0.234513,0.473140,1,0
50,0.822578,0.036933,53.312500,0.570060,0.862903,0.843325,0.931818,0.045455,0.000000,15,25,0.044248,0.326257,0,0
51,0.903153,0.044179,54.687500,0.495464,0.814516,0.797494,0.954545,0.045455,0.022727,11,21,0.035398,0.345324,0,0
52,0.881230,0.048812,54.406250,0.519153,0.840726,0.830495,0.954545,0.295455,0.045455,23,51,0.081858,0.375905,0,0
53,0.870107,0.045126,54.250000,0.527218,0.862903,0.853815,0.909091,0.090909,0.000000,9,21,0.033186,0.323954,0,0
54,0.746070,0.037156,55.093750,0.599294,0.866935,0.858279,0.931818,0.090909,0.000000,8,15,0.025442,0.332683,0,0
55,0.922703,0.051118,54.625000,0.505544,0.832661,0.835531,0.863636,0.090909,0.000000,11,17,0.030973,0.308266,0,0
56,0.867050,0.044248,54.218750,0.545363,0.881048,0.863626,0.954545,0.522727,0.136364,45,67,0.123894,0.435338,0,0
57,0.839146,0.048095,54.875000,0.573085,0.870968,0.853949,0.931818,0.113636,0.022727,16,32,0.053097,0.342418,0,0
58,0.910049,0.048121,54.906250,0.519153,0.854839,0.837683,1.000000,0.431818,0.136364,43,75,0.130531,0.441492,0,0
59,0.849912,0.043484,54.812500,0.532258,0.860887,0.863397,0.954545,0.227273,0.022727,20,32,0.057522,0.361293,0,0
60,0.761850,0.036253,55.468750,0.568548,0.842742,0.828208,0.840909,0.431818,0.068182,36,59,0.105088,0.357673,0,0
61,0.854549,0.045304,55.875000,0.533266,0.842742,0.819994,0.954545,0.522727,0.181818,49,79,0.141593,0.454023,0,0
62,0.779187,0.043226,56.375000,0.578125,0.881048,0.857833,0.954545,0.181818,0.068182,12,27,0.043142,0.378640,0,0
63,0.791394,0.038306,54.500000,0.556956,0.842742,0.841308,0.931818,0.113636,0.000000,13,18,0.034292,0.334071,0,0
64,0.853783,0.040891,55.093750,0.530242,0.864919,0.832893,0.977273,0.250000,0.022727,25,35,0.066372,0.370636,0,0
