epoch,train_loss,mean_motion_penalty,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
1,1.914843,0.161065,17.375000,0.282762,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,1
2,1.900990,0.150204,17.937500,0.299395,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0
3,1.895059,0.164110,17.937500,0.298891,0.292339,0.088318,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,1
4,1.846716,0.150715,21.312500,0.292843,0.405242,0.239141,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,1
5,1.764048,0.150448,25.031250,0.337198,0.387097,0.207359,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0
6,1.655806,0.151803,29.312500,0.334677,0.526210,0.450840,0.681818,0.068182,0.000000,55,79,0.148230,0.230632,0,1
7,1.553105,0.152355,32.750000,0.325101,0.540323,0.490308,0.704545,0.022727,0.000000,67,100,0.184735,0.230390,0,1
8,1.472478,0.147876,35.500000,0.329637,0.544355,0.475072,0.840909,0.409091,0.136364,121,144,0.293142,0.367277,0,0
9,1.428853,0.143433,35.531250,0.344254,0.586694,0.569139,0.795455,0.045455,0.000000,57,76,0.147124,0.268242,0,1
10,1.369135,0.139952,39.843750,0.348790,0.643145,0.611588,0.681818,0.000000,0.000000,26,47,0.080752,0.230561,1,1
11,1.341554,0.138766,40.218750,0.356351,0.653226,0.613671,0.863636,0.363636,0.090909,118,144,0.289823,0.350563,1,1
12,1.379368,0.157483,39.968750,0.341230,0.653226,0.637516,0.795455,0.113636,0.022727,63,78,0.155973,0.284403,0,1
13,1.249598,0.126131,42.000000,0.371976,0.663306,0.634806,0.909091,0.363636,0.159091,107,129,0.261062,0.400030,1,0
14,1.295596,0.143915,43.312500,0.373992,0.699597,0.665728,0.886364,0.068182,0.000000,43,63,0.117257,0.305320,0,1
15,1.146966,0.120821,44.218750,0.441028,0.737903,0.724451,0.840909,0.000000,0.000000,12,18,0.033186,0.291000,0,1
16,1.109608,0.106879,45.093750,0.450101,0.756048,0.742291,0.954545,0.181818,0.022727,61,90,0.167035,0.345796,0,1
17,1.176633,0.122268,46.593750,0.410786,0.699597,0.686175,0.954545,0.295455,0.045455,69,98,0.184735,0.365617,0,0
18,1.140875,0.116641,45.750000,0.430444,0.727823,0.693343,0.954545,0.068182,0.000000,57,82,0.153761,0.325533,0,0
19,1.150819,0.133885,45.812500,0.415323,0.766129,0.731809,0.931818,0.000000,0.000000,36,56,0.101770,0.315959,0,0
20,1.117330,0.111911,47.250000,0.422379,0.750000,0.722587,0.954545,0.295455,0.045455,80,112,0.212389,0.362852,0,0
21,1.144127,0.130827,45.656250,0.422883,0.764113,0.738995,0.954545,0.113636,0.022727,46,84,0.143805,0.341301,0,0
22,1.072419,0.116249,46.875000,0.452117,0.776210,0.747277,0.954545,0.068182,0.000000,39,65,0.115044,0.329405,0,1
23,1.053573,0.107701,47.843750,0.453629,0.792339,0.773609,0.931818,0.022727,0.000000,26,50,0.084071,0.320002,0,1
24,0.970762,0.094014,48.375000,0.507056,0.828629,0.802300,0.977273,0.090909,0.000000,43,68,0.122788,0.338858,0,1
25,0.941011,0.093211,49.750000,0.506048,0.824597,0.800360,0.977273,0.181818,0.045455,59,80,0.153761,0.365306,0,0
26,1.015983,0.103337,49.875000,0.457157,0.798387,0.789191,0.954545,0.045455,0.000000,34,54,0.097345,0.328902,0,0
27,0.973331,0.094404,49.718750,0.472278,0.804435,0.775314,0.977273,0.204545,0.045455,66,96,0.179204,0.365034,0,0
28,1.124385,0.129037,50.125000,0.399698,0.778226,0.758899,0.931818,0.318182,0.045455,60,86,0.161504,0.362259,0,0
29,0.936297,0.096309,50.593750,0.493448,0.796371,0.795317,0.977273,0.113636,0.000000,29,41,0.077434,0.345666,0,0
30,0.906790,0.088123,51.125000,0.509577,0.782258,0.756414,0.954545,0.045455,0.000000,24,50,0.081858,0.330451,0,0
31,0.896193,0.081960,50.718750,0.505040,0.804435,0.789842,1.000000,0.113636,0.000000,44,50,0.103982,0.350965,0,0
32,0.939004,0.099806,51.250000,0.484375,0.822581,0.802065,0.909091,0.181818,0.000000,46,76,0.134956,0.322868,0,0
33,0.936844,0.096481,51.375000,0.476815,0.806452,0.799268,0.931818,0.045455,0.000000,26,46,0.079646,0.322717,0,0
34,0.933265,0.097361,51.468750,0.497984,0.844758,0.818725,0.863636,0.090909,0.000000,35,52,0.096239,0.301740,0,1
35,1.002351,0.107428,50.531250,0.452117,0.798387,0.779569,0.977273,0.295455,0.090909,58,90,0.163717,0.396128,0,0
