epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,topk_budget_selected,topk_rescue_selected,nonfall_selected_count,fall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
26,3.810257,1.886144,0.096983,0.818788,0.118378,0.271978,0.821969,7.693548,2.580645,7.693548,2.580645,0.935484,0.330886,0.439516,0.312215,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
27,3.739239,1.829943,0.106969,0.794025,0.131484,0.315388,0.797972,7.693548,2.564516,7.693548,2.564516,0.951613,0.395237,0.473790,0.292965,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
28,3.897912,1.818323,0.165266,0.804204,0.188504,0.445199,0.810314,7.758065,2.580645,7.758065,2.580645,0.983871,0.549415,0.473790,0.345655,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
29,3.630039,1.770301,0.144034,0.719793,0.164080,0.423344,0.725994,7.709677,2.612903,7.709677,2.612903,0.951613,0.583123,0.481855,0.371503,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
30,3.497246,1.706166,0.161402,0.654213,0.187494,0.519434,0.658111,7.629032,2.758065,7.629032,2.758065,0.935484,0.789281,0.497984,0.458771,0.522727,0.113636,0.000000,12,25,0.040929,0.190225,0,0,0,0,1
31,3.471958,1.631141,0.268870,0.525665,0.305567,0.803976,0.539721,7.629032,2.693548,7.629032,2.693548,0.983871,1.489612,0.510081,0.406273,0.750000,0.090909,0.045455,29,46,0.082965,0.283749,0,0,0,0,0
32,3.475641,1.587398,0.300659,0.502575,0.343189,0.895412,0.517966,7.629032,2.645161,7.629032,2.645161,0.967742,1.728709,0.522177,0.436739,0.909091,0.727273,0.590909,92,112,0.225664,0.634252,0,0,0,0,0
33,3.438409,1.554543,0.325321,0.454557,0.388596,0.963697,0.474468,7.758065,2.500000,7.758065,2.500000,1.000000,2.031111,0.524194,0.457072,0.840909,0.727273,0.613636,104,114,0.241150,0.619067,0,0,0,0,0
34,3.393861,1.567277,0.269131,0.490162,0.341362,0.881611,0.505526,7.596774,2.693548,7.596774,2.693548,0.919355,1.743948,0.572581,0.496151,0.931818,0.386364,0.227273,42,60,0.112832,0.455762,0,0,0,0,1
35,3.313895,1.527522,0.316538,0.416657,0.370217,1.034698,0.424285,7.677419,2.612903,7.677419,2.612903,0.951613,2.438686,0.590726,0.539973,0.886364,0.477273,0.386364,53,72,0.138274,0.517991,0,0,0,0,1
36,2.919707,1.443140,0.260061,0.334260,0.321194,0.870660,0.343387,7.661290,2.596774,7.661290,2.596774,0.919355,2.535509,0.576613,0.565088,0.659091,0.090909,0.045455,15,26,0.045354,0.255692,0,0,0,0,1
37,3.287350,1.498608,0.324360,0.414940,0.378385,0.996515,0.421929,7.741935,2.564516,7.741935,2.564516,0.967742,2.361806,0.530242,0.475665,0.681818,0.090909,0.068182,13,31,0.048673,0.273542,0,0,0,0,0
38,2.829274,1.422907,0.250365,0.314575,0.298618,0.870486,0.325187,7.645161,2.580645,7.645161,2.580645,0.919355,2.676876,0.574597,0.549158,0.931818,0.431818,0.318182,54,72,0.139381,0.498562,0,0,0,0,0
