attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.976908,0.965545,0.988764,0.011236,0.988764,0.988764,88,1,1,906,1,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.891566,0.875423,0.943820,0.056180,0.903226,0.923077,84,5,9,898,9,0.086345,0.044944,0.085341
fgsm,legacy,0.005000,n/a,n/a,0.641566,0.616439,0.662921,0.337079,0.686047,0.674286,59,30,27,880,27,0.336345,0.325843,0.335341
fgsm,legacy,0.007500,n/a,n/a,0.450803,0.417314,0.426966,0.573034,0.447059,0.436782,38,51,47,860,47,0.527108,0.561798,0.526104
fgsm,legacy,0.010000,n/a,n/a,0.307229,0.274976,0.292135,0.707865,0.276596,0.284153,26,63,68,839,68,0.670683,0.696629,0.669679
fgsm,legacy,0.012500,n/a,n/a,0.238956,0.213833,0.235955,0.764045,0.216495,0.225806,21,68,76,831,76,0.739960,0.752809,0.737952
fgsm,legacy,0.015000,n/a,n/a,0.181727,0.157581,0.179775,0.820225,0.163265,0.171123,16,73,82,825,82,0.797189,0.808989,0.795181
fgsm,legacy,0.017500,n/a,n/a,0.147590,0.127985,0.157303,0.842697,0.141414,0.148936,14,75,85,822,85,0.831325,0.831461,0.829317
fgsm,legacy,0.020000,n/a,n/a,0.135542,0.117036,0.146067,0.853933,0.128713,0.136842,13,76,88,819,88,0.843373,0.842697,0.841365
fgsm,legacy,0.025000,n/a,n/a,0.102410,0.091864,0.101124,0.898876,0.090909,0.095745,9,80,90,817,90,0.876506,0.887640,0.874498
fgsm,legacy,0.030000,n/a,n/a,0.079317,0.069907,0.078652,0.921348,0.070707,0.074468,7,82,92,815,92,0.900602,0.910112,0.897590
fgsm,legacy,0.035000,n/a,n/a,0.056225,0.052320,0.056180,0.943820,0.049505,0.052632,5,84,96,811,96,0.923695,0.932584,0.920683
fgsm,legacy,0.040000,n/a,n/a,0.045181,0.043918,0.056180,0.943820,0.047619,0.051546,5,84,100,807,100,0.934739,0.932584,0.931727
fgsm,legacy,0.045000,n/a,n/a,0.042169,0.041763,0.056180,0.943820,0.045872,0.050505,5,84,104,803,104,0.937751,0.932584,0.934739
fgsm,legacy,0.050000,n/a,n/a,0.039157,0.039290,0.056180,0.943820,0.042735,0.048544,5,84,112,795,112,0.940763,0.932584,0.937751
fgsm,legacy,0.055000,n/a,n/a,0.042169,0.042249,0.056180,0.943820,0.043103,0.048780,5,84,111,796,111,0.939759,0.932584,0.934739
fgsm,legacy,0.060000,n/a,n/a,0.044177,0.043750,0.056180,0.943820,0.041667,0.047847,5,84,115,792,115,0.937751,0.932584,0.932731
fgsm,legacy,0.075000,n/a,n/a,0.052209,0.049621,0.022472,0.977528,0.016129,0.018779,2,87,122,785,122,0.930723,0.966292,0.924699
