metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.976908
clean_macro_f1,0.966307
clean_fall_recall,0.988764
attack_accuracy,0.046185
attack_macro_f1,0.052039
fall_recall,0.123596
missed_fall_rate,0.876404
fall_precision,0.079710
fall_f1,0.096916
fall_true_positive,11
fall_false_negative,78
fall_false_positive,127
fall_true_negative,780
false_fall_alarm_count,127
prediction_change_rate,0.933735
