metric,value
attack,pgd
split,legacy
epsilon,0.030000
alpha,0.005000
pgd_steps,10
n_windows,996
clean_accuracy,0.934739
clean_macro_f1,0.925040
clean_fall_recall,1.000000
attack_accuracy,0.187751
attack_macro_f1,0.165251
fall_recall,0.044944
missed_fall_rate,0.955056
fall_precision,0.048193
fall_f1,0.046512
fall_true_positive,4
fall_false_negative,85
fall_false_positive,79
fall_true_negative,828
false_fall_alarm_count,79
prediction_change_rate,0.757028
