metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.875502
clean_macro_f1,0.861416
clean_fall_recall,0.988764
attack_accuracy,0.504016
attack_macro_f1,0.463727
fall_recall,0.550562
missed_fall_rate,0.449438
fall_precision,0.371212
fall_f1,0.443439
fall_true_positive,49
fall_false_negative,40
fall_false_positive,83
fall_true_negative,824
false_fall_alarm_count,83
prediction_change_rate,0.381526
