metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.971888
clean_macro_f1,0.957873
clean_fall_recall,1.000000
attack_accuracy,0.070281
attack_macro_f1,0.070571
fall_recall,0.123596
missed_fall_rate,0.876404
fall_precision,0.088000
fall_f1,0.102804
fall_true_positive,11
fall_false_negative,78
fall_false_positive,114
fall_true_negative,793
false_fall_alarm_count,114
prediction_change_rate,0.903614
