attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.875502,0.861416,0.988764,0.011236,0.838095,0.907216,88,1,17,890,17,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.839357,0.824960,0.988764,0.011236,0.785714,0.875622,88,1,24,883,24,0.036145,0.000000,0.036145
pgd,legacy,0.005000,10,0.000833,0.788153,0.771124,0.988764,0.011236,0.739496,0.846154,88,1,31,876,31,0.088353,0.000000,0.087349
pgd,legacy,0.007500,10,0.001250,0.735944,0.712407,0.932584,0.067416,0.680328,0.786730,83,6,39,868,39,0.144578,0.056180,0.139558
pgd,legacy,0.010000,10,0.001667,0.691767,0.669989,0.898876,0.101124,0.640000,0.747664,80,9,45,862,45,0.191767,0.089888,0.183735
pgd,legacy,0.012500,10,0.002083,0.646586,0.624644,0.876404,0.123596,0.600000,0.712329,78,11,52,855,52,0.238956,0.112360,0.228916
pgd,legacy,0.015000,10,0.002500,0.592369,0.570416,0.820225,0.179775,0.521429,0.637555,73,16,67,840,67,0.293173,0.168539,0.283133
pgd,legacy,0.017500,10,0.002917,0.532129,0.511290,0.674157,0.325843,0.413793,0.512821,60,29,85,822,85,0.354418,0.314607,0.343373
pgd,legacy,0.020000,10,0.003333,0.481928,0.457782,0.573034,0.426966,0.344595,0.430380,51,38,97,810,97,0.405622,0.415730,0.393574
pgd,legacy,0.025000,10,0.004167,0.357430,0.334722,0.348315,0.651685,0.201299,0.255144,31,58,123,784,123,0.531124,0.640449,0.518072
pgd,legacy,0.030000,10,0.005000,0.248996,0.237453,0.157303,0.842697,0.088608,0.113360,14,75,144,763,144,0.645582,0.831461,0.626506
pgd,legacy,0.035000,10,0.005833,0.158635,0.157849,0.033708,0.966292,0.018182,0.023622,3,86,162,745,162,0.737952,0.955056,0.716867
pgd,legacy,0.040000,10,0.006667,0.108434,0.110221,0.011236,0.988764,0.005848,0.007692,1,88,170,737,170,0.791165,0.977528,0.767068
pgd,legacy,0.045000,10,0.007500,0.069277,0.071024,0.000000,1.000000,0.000000,0.000000,0,89,177,730,177,0.833333,0.988764,0.806225
pgd,legacy,0.050000,10,0.008333,0.038153,0.042937,0.000000,1.000000,0.000000,0.000000,0,89,178,729,178,0.867470,0.988764,0.837349
pgd,legacy,0.055000,10,0.009167,0.034137,0.038440,0.000000,1.000000,0.000000,0.000000,0,89,183,724,183,0.877510,0.988764,0.841365
pgd,legacy,0.060000,10,0.010000,0.017068,0.022249,0.000000,1.000000,0.000000,0.000000,0,89,184,723,184,0.896586,0.988764,0.858434
pgd,legacy,0.075000,10,0.012500,0.004016,0.004349,0.000000,1.000000,0.000000,0.000000,0,89,191,716,191,0.916667,0.988764,0.871486
