metric,value
attack,pgd
split,legacy
epsilon,0.030000
alpha,0.005000
pgd_steps,10
n_windows,996
clean_accuracy,0.976908
clean_macro_f1,0.963155
clean_fall_recall,0.966292
attack_accuracy,0.001004
attack_macro_f1,0.000582
fall_recall,0.000000
missed_fall_rate,1.000000
fall_precision,0.000000
fall_f1,0.000000
fall_true_positive,0
fall_false_negative,89
fall_false_positive,93
fall_true_negative,814
false_fall_alarm_count,93
prediction_change_rate,0.978916
