attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.934739,0.925040,1.000000,0.000000,0.946809,0.972678,89,0,5,902,5,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.891566,0.883771,0.966292,0.033708,0.914894,0.939891,86,3,8,899,8,0.043173,0.033708,0.043173
fgsm,legacy,0.005000,n/a,n/a,0.841365,0.827320,0.921348,0.078652,0.863158,0.891304,82,7,13,894,13,0.093373,0.078652,0.093373
fgsm,legacy,0.007500,n/a,n/a,0.799197,0.783209,0.898876,0.101124,0.842105,0.869565,80,9,15,892,15,0.135542,0.101124,0.135542
fgsm,legacy,0.010000,n/a,n/a,0.750000,0.732864,0.887640,0.112360,0.814433,0.849462,79,10,18,889,18,0.184739,0.112360,0.184739
fgsm,legacy,0.012500,n/a,n/a,0.712851,0.696529,0.876404,0.123596,0.804124,0.838710,78,11,19,888,19,0.223896,0.123596,0.221888
fgsm,legacy,0.015000,n/a,n/a,0.679719,0.652736,0.865169,0.134831,0.762376,0.810526,77,12,24,883,24,0.259036,0.134831,0.255020
fgsm,legacy,0.017500,n/a,n/a,0.654618,0.626174,0.853933,0.146067,0.752475,0.800000,76,13,25,882,25,0.283133,0.146067,0.280120
fgsm,legacy,0.020000,n/a,n/a,0.636546,0.604199,0.820225,0.179775,0.752577,0.784946,73,16,24,883,24,0.301205,0.179775,0.298193
fgsm,legacy,0.025000,n/a,n/a,0.579317,0.543682,0.741573,0.258427,0.666667,0.702128,66,23,33,874,33,0.360442,0.258427,0.355422
fgsm,legacy,0.030000,n/a,n/a,0.505020,0.465541,0.573034,0.426966,0.573034,0.573034,51,38,38,869,38,0.436747,0.426966,0.429719
fgsm,legacy,0.035000,n/a,n/a,0.439759,0.397120,0.460674,0.539326,0.465909,0.463277,41,48,47,860,47,0.503012,0.539326,0.494980
fgsm,legacy,0.040000,n/a,n/a,0.386546,0.339181,0.359551,0.640449,0.376471,0.367816,32,57,53,854,53,0.556225,0.640449,0.548193
fgsm,legacy,0.045000,n/a,n/a,0.334337,0.277635,0.213483,0.786517,0.240506,0.226190,19,70,60,847,60,0.608434,0.786517,0.600402
fgsm,legacy,0.050000,n/a,n/a,0.295181,0.239061,0.179775,0.820225,0.202532,0.190476,16,73,63,844,63,0.647590,0.820225,0.639558
fgsm,legacy,0.055000,n/a,n/a,0.267068,0.210928,0.134831,0.865169,0.157895,0.145455,12,77,64,843,64,0.675703,0.865169,0.667671
fgsm,legacy,0.060000,n/a,n/a,0.240964,0.182074,0.067416,0.932584,0.085714,0.075472,6,83,64,843,64,0.702811,0.932584,0.693775
fgsm,legacy,0.075000,n/a,n/a,0.194779,0.133005,0.011236,0.988764,0.016393,0.013333,1,88,60,847,60,0.757028,0.988764,0.739960
