selection,selected_epoch,val_clean_acc,val_clean_macro_f1,val_pgd_recall,val_pgd_false_alarms,safety_score
v2safety,57,0.7480,0.7304,0.6818,97,0.7150
v2maxrec,57,0.7480,0.7304,0.6818,97,0.7150
v2lowFA,52,0.7278,0.7339,0.1364,27,0.4135
v2macroF1,70,0.7742,0.7533,0.3636,50,0.5531
