epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_fgsm_fall_recall,val_fgsm_false_fall_alarms,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_normalized_false_alarm_burden,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,fall_selected_count,nonfall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,clean_guard_eligible,selection_score,sel_maxscore
1,0.250000,0.240000,0.000000,452,0,0.000000,0.000000,0,0.250000,0.090646,0.000000,0.000000,4.199193,1.985219,0.093216,0.990817,0.104339,0.136532,0.991469,2.645161,7.661290,0.983871,0.137706,0,-2.700000,0
2,0.240000,0.230000,0.000000,452,0,0.000000,0.000000,0,0.252016,0.064058,0.000000,0.000000,4.024824,1.994933,0.030350,0.974348,0.038207,0.049832,0.975027,2.629032,7.741935,0.951613,0.051109,0,-2.695968,0
3,0.230000,0.220000,0.000000,452,0,0.000000,0.000000,0,0.334677,0.116493,0.000000,0.000000,4.047375,1.994725,0.015318,1.001577,0.026514,0.030815,1.002154,2.854839,7.580645,0.983871,0.030749,0,-2.530645,0
4,0.220000,0.210000,0.000000,452,0,0.000000,0.000000,0,0.290323,0.117736,0.000000,0.000000,3.891032,1.992946,0.023028,0.916578,0.032156,0.041375,0.917222,2.290323,7.838710,0.903226,0.045109,0,-2.619355,0
5,0.210000,0.200000,0.000000,452,0,0.000000,0.000000,0,0.302419,0.214645,0.000000,0.000000,3.991139,1.990210,0.016783,0.975848,0.023978,0.039050,0.976120,2.580645,7.741935,0.967742,0.040005,0,-2.595161,0
6,0.200000,0.190000,0.000000,452,0,0.000000,0.000000,0,0.348790,0.158818,0.000000,0.000000,3.952987,1.987751,0.024272,0.948900,0.031510,0.052863,0.949982,2.612903,7.645161,0.951613,0.055647,0,-2.502419,0
7,0.190000,0.180000,0.000000,452,0,0.000000,0.000000,0,0.350806,0.202643,0.000000,0.000000,3.859156,1.989196,0.020427,0.906856,0.026186,0.046614,0.907635,2.451613,7.693548,0.903226,0.051357,0,-2.498387,0
8,0.180000,0.170000,0.000000,452,0,0.000000,0.000000,0,0.320565,0.179665,0.000000,0.000000,3.907590,1.984221,0.027038,0.925061,0.033507,0.063260,0.926377,2.612903,7.709677,0.935484,0.068288,0,-2.558871,0
9,0.170000,0.160000,0.000000,452,0,0.000000,0.000000,0,0.366935,0.207010,0.000000,0.000000,3.891013,1.981182,0.035753,0.906212,0.044267,0.091095,0.908114,2.661290,7.612903,0.935484,0.100313,0,-2.466129,0
10,0.160000,0.150000,0.000000,452,0,0.000000,0.000000,0,0.314516,0.134507,0.000000,0.000000,3.894730,1.972868,0.045055,0.901305,0.054374,0.115200,0.902695,2.629032,7.709677,0.935484,0.127618,0,-2.570968,0
